phase,eof,term,legacy,corrected,diff
incipient,3,∂Az/∂t (finite diff.),0.438189,0.425135,-0.0130538
incipient,3,∂Ae/∂t (finite diff.),0.10697,0.193644,0.0866739
incipient,3,∂Kz/∂t (finite diff.),0.504978,0.40834,-0.0966378
incipient,3,∂Ke/∂t (finite diff.),-0.227459,-0.227218,0.000241018
incipient,3,RGz,0.642656,0.584052,-0.0586038
incipient,3,RKz,0.620905,0.54605,-0.0748549
incipient,3,RGe,0.208234,0.415256,0.207021
incipient,3,RKe,0.107503,0.255852,0.148349
incipient,4,Az,0.731337,0.790055,0.0587179
incipient,4,Ae,-0.143024,-0.220168,-0.077144
incipient,4,Kz,0.697927,0.629231,-0.0686963
incipient,4,Ke,-0.254525,-0.278806,-0.0242807
incipient,4,Cz,-0.0347862,0.198974,0.23376
incipient,4,Ca,-0.027245,0.0531571,0.0804021
incipient,4,Ck,-0.0931838,-0.286806,-0.193622
incipient,4,Ce,-0.245087,-0.351898,-0.106811
incipient,4,Gz,-0.312161,-0.305617,0.00654445
incipient,4,Ge,-0.233236,-0.242306,-0.00906924
incipient,4,BAz,0.273982,0.494431,0.220449
incipient,4,BAe,0.0162806,-0.176497,-0.192778
incipient,4,BKz,-0.169145,-0.0744382,0.0947069
incipient,4,BKe,-0.101997,-0.201183,-0.0991853
incipient,4,BΦZ,0.0199983,0.113082,0.0930841
incipient,4,BΦE,-0.111997,0.251992,0.363989
incipient,4,∂Az/∂t (finite diff.),0.422625,0.0591366,-0.363489
incipient,4,∂Ae/∂t (finite diff.),-0.0216065,0.0960803,0.117687
incipient,4,∂Kz/∂t (finite diff.),0.477311,0.120463,-0.356848
incipient,4,∂Ke/∂t (finite diff.),-0.128909,-0.00301787,0.125891
incipient,4,RGz,0.0161684,-0.278741,-0.294909
incipient,4,RKz,0.335844,0.118709,-0.217135
incipient,4,RGe,-0.209773,-0.124038,0.0857351
incipient,4,RKe,0.108781,0.219755,0.110975
incipient,5,Az,0.120469,-0.064848,-0.185317
incipient,5,Ae,0.189941,0.28039,0.0904487
incipient,5,Kz,0.0870149,-0.0929796,-0.179994
incipient,5,Ke,0.227792,0.315038,0.0872465
incipient,5,Cz,0.625917,0.632401,0.00648383
incipient,5,Ca,0.0947986,0.1961,0.101301
incipient,5,Ck,-0.52915,-0.505412,0.0237382
incipient,5,Ce,-0.088095,0.0269663,0.115061
incipient,5,Gz,0.314091,0.376624,0.0625329
incipient,5,Ge,-0.30542,-0.190127,0.115293
incipient,5,BAz,0.0309554,0.0563695,0.0254141
incipient,5,BAe,0.110061,0.0619622,-0.0480991
incipient,5,BKz,-0.124782,-0.122185,0.00259755
incipient,5,BKe,-0.407474,-0.364657,0.0428169
incipient,5,BΦZ,0.0240813,-0.0581011,-0.0821825
incipient,5,BΦE,-0.10333,0.24051,0.34384
incipient,5,∂Az/∂t (finite diff.),-0.165828,-0.324034,-0.158206
incipient,5,∂Ae/∂t (finite diff.),-0.272949,-0.126144,0.146805
incipient,5,∂Kz/∂t (finite diff.),-0.325195,-0.417487,-0.0922923
incipient,5,∂Ke/∂t (finite diff.),0.183589,0.302607,0.119017
incipient,5,RGz,0.26768,0.234732,-0.0329482
incipient,5,RKz,-0.0268106,-0.0753832,-0.0485726
incipient,5,RGe,-0.315779,-0.256184,0.0595942
