track_id,cluster,version
19790001,1,before
19790048,1,before
19790094,5,before
19790097,1,before
19790101,1,before
19790135,4,before
19790144,1,before
19790166,4,before
19790171,5,before
19790205,2,before
19790213,1,before
19790322,1,before
19790339,1,before
19790369,1,before
19790391,1,before
19790414,2,before
19790419,4,before
19790455,2,before
19790550,1,before
19790585,4,before
19790618,1,before
19790644,4,before
19790656,5,before
19790690,1,before
19790697,1,before
19790770,2,before
19790802,3,before
19790820,1,before
19790842,2,before
19790847,3,before
19790876,3,before
19790917,1,before
19790933,3,before
19790946,1,before
19790963,4,before
19790971,1,before
19791000,3,before
19791011,1,before
19791038,1,before
19791045,1,before
19791068,1,before
19791072,1,before
19791150,4,before
19800073,2,before
19800192,1,before
19800205,5,before
19800221,1,before
19800237,5,before
19800256,4,before
19800318,4,before
19800347,3,before
19800401,5,before
19800411,4,before
19800418,2,before
19800440,3,before
19800455,4,before
19800464,4,before
19800550,3,before
19800553,3,before
19800601,4,before
19800614,4,before
19800636,1,before
19800646,2,before
19800657,5,before
19800685,5,before
19800703,1,before
19800725,4,before
19800759,2,before
19800810,5,before
19800811,2,before
19800887,2,before
19800898,1,before
19800936,1,before
19800948,2,before
19800999,1,before
19801016,5,before
19801032,1,before
19801046,1,before
19801082,1,before
19810014,1,before
19810093,1,before
19810169,1,before
19810179,3,before
19810196,1,before
19810229,4,before
19810279,1,before
19810303,4,before
19810349,1,before
19810353,1,before
19810388,3,before
19810394,1,before
19810430,1,before
19810462,3,before
19810495,1,before
19810519,1,before
19810554,3,before
19810568,1,before
19810609,2,before
19810626,4,before
19810659,3,before
19810666,1,before
19810721,5,before
19810871,2,before
19810938,1,before
19810971,4,before
19810994,1,before
19811024,4,before
19811035,2,before
19811042,1,before
19811049,1,before
19811096,1,before
19811153,4,before
19811184,1,before
19820026,1,before
19820084,1,before
19820097,1,before
19820099,5,before
19820102,1,before
19820128,1,before
19820138,1,before
19820143,1,before
19820253,2,before
19820292,5,before
19820337,4,before
19820453,2,before
19820471,5,before
19820514,2,before
19820549,1,before
19820586,1,before
19820602,4,before
19820652,1,before
19820671,5,before
19820697,2,before
19820712,3,before
19820765,3,before
19820776,1,before
19820786,5,before
19820808,3,before
19820816,1,before
19820831,2,before
19820917,4,before
19820932,1,before
19820953,2,before
19820983,3,before
19821001,1,before
19821022,1,before
19821068,1,before
19821079,1,before
19821113,1,before
19821126,1,before
19830021,1,before
19830040,1,before
19830050,1,before
19830088,1,before
19830126,1,before
19830144,3,before
19830150,1,before
19830179,1,before
19830205,3,before
19830215,1,before
19830224,4,before
19830250,4,before
19830362,1,before
19830399,1,before
19830416,1,before
19830443,1,before
19830458,2,before
19830490,3,before
19830515,4,before
19830575,5,before
19830591,2,before
19830710,2,before
19830760,2,before
19830793,3,before
19830808,5,before
19830822,3,before
19830832,1,before
19830845,3,before
19830855,3,before
19830875,1,before
19830888,1,before
19830893,2,before
19830921,3,before
19831059,5,before
19831065,2,before
19831140,1,before
19831157,1,before
19831165,1,before
19840010,2,before
19840018,1,before
19840073,2,before
19840098,4,before
19840114,1,before
19840159,1,before
19840167,1,before
19840188,3,before
19840242,2,before
19840249,1,before
19840308,1,before
19840365,3,before
19840433,1,before
19840455,5,before
19840478,5,before
19840520,2,before
19840531,3,before
19840533,1,before
19840557,5,before
19840570,5,before
19840606,4,before
19840635,1,before
19840658,2,before
19840674,3,before
19840812,1,before
19840829,3,before
19840834,5,before
19840883,3,before
19840892,3,before
19840975,4,before
19840990,3,before
19841002,1,before
19841073,5,before
19841112,4,before
19841124,5,before
19841134,3,before
19850021,1,before
19850063,1,before
19850099,1,before
19850122,5,before
19850238,1,before
