scope,eof,version,term,loading
incipient,3,after,∂Ke/∂t (finite diff.),-0.22721816
incipient,3,before,RGz,0.64157005
incipient,3,after,RGz,0.58405248
incipient,3,before,RKz,0.62054601
incipient,3,after,RKz,0.54604971
incipient,3,before,RGe,0.21243389
incipient,3,after,RGe,0.41525594
incipient,3,before,RKe,0.13422746
incipient,3,after,RKe,0.2558516
incipient,4,before,Az,0.75041535
incipient,4,after,Az,0.79005542
incipient,4,before,Ae,-0.11536111
incipient,4,after,Ae,-0.2201675
incipient,4,before,Kz,0.69181703
incipient,4,after,Kz,0.62923107
incipient,4,before,Ke,-0.24133562
incipient,4,after,Ke,-0.27880553
incipient,4,before,Cz,-0.0078234345
incipient,4,after,Cz,0.19897359
incipient,4,before,Ca,-0.0052950652
incipient,4,after,Ca,0.053157124
incipient,4,before,Ck,-0.15956154
incipient,4,after,Ck,-0.28680605
incipient,4,before,Ce,-0.26836728
incipient,4,after,Ce,-0.3518983
incipient,4,before,BAz,0.27642192
incipient,4,after,BAz,0.49443136
incipient,4,before,BAe,0.0054520105
incipient,4,after,BAe,-0.17649724
incipient,4,before,BKz,-0.15681625
incipient,4,after,BKz,-0.074438233
incipient,4,before,BKe,-0.13051931
incipient,4,after,BKe,-0.20118261
incipient,4,before,BΦZ,-0.0038017106
incipient,4,after,BΦZ,0.11308245
incipient,4,before,BΦE,-0.14545489
incipient,4,after,BΦE,0.25199243
incipient,4,before,Gz,-0.33395244
incipient,4,after,Gz,-0.3056169
incipient,4,before,Ge,-0.29985257
incipient,4,after,Ge,-0.24230561
incipient,4,before,∂Az/∂t (finite diff.),0.39774531
incipient,4,after,∂Az/∂t (finite diff.),0.059136568
incipient,4,before,∂Ae/∂t (finite diff.),-0.029787464
incipient,4,after,∂Ae/∂t (finite diff.),0.096080348
incipient,4,before,∂Kz/∂t (finite diff.),0.4338349
incipient,4,after,∂Kz/∂t (finite diff.),0.12046322
incipient,4,before,∂Ke/∂t (finite diff.),-0.12264341
incipient,4,after,∂Ke/∂t (finite diff.),-0.0030178721
incipient,4,before,RGz,0.01639921
incipient,4,after,RGz,-0.27874103
incipient,4,before,RKz,0.31636013
incipient,4,after,RKz,0.11870882
incipient,4,before,RGe,-0.23071425
incipient,4,after,RGe,-0.12403821
incipient,4,before,RKe,0.10764554
incipient,4,after,RKe,0.21975517
incipient,5,before,Az,0.18661348
incipient,5,after,Az,-0.064848005
incipient,5,before,Ae,0.073605763
incipient,5,after,Ae,0.28038961
incipient,5,before,Kz,0.20254198
incipient,5,after,Kz,-0.092979563
incipient,5,before,Ke,-0.05419675
incipient,5,after,Ke,0.31503831
incipient,5,before,Cz,0.63892932
incipient,5,after,Cz,0.63240109
incipient,5,before,Ca,0.027910507
incipient,5,after,Ca,0.19609979
incipient,5,before,Ck,-0.16856235
incipient,5,after,Ck,-0.50541192
incipient,5,before,Ce,0.060612693
incipient,5,after,Ce,0.026966328
incipient,5,before,BAz,0.21296579
incipient,5,after,BAz,0.056369483
incipient,5,before,BAe,0.17092136
incipient,5,after,BAe,0.061962196
incipient,5,before,BKz,-0.12711236
incipient,5,after,BKz,-0.12218481
incipient,5,before,BKe,-0.55693705
incipient,5,after,BKe,-0.36465695
incipient,5,before,BΦZ,0.17262701
incipient,5,after,BΦZ,-0.058101128
incipient,5,before,BΦE,0.086544882
incipient,5,after,BΦE,0.24051016
incipient,5,before,Gz,0.37383565
incipient,5,after,Gz,0.37662431
incipient,5,before,Ge,0.023678903
incipient,5,after,Ge,-0.1901273
incipient,5,before,∂Az/∂t (finite diff.),-0.43255833
incipient,5,after,∂Az/∂t (finite diff.),-0.32403407
incipient,5,before,∂Ae/∂t (finite diff.),-0.11033479
incipient,5,after,∂Ae/∂t (finite diff.),-0.12614376
incipient,5,before,∂Kz/∂t (finite diff.),-0.3879859
incipient,5,after,∂Kz/∂t (finite diff.),-0.41748747
incipient,5,before,∂Ke/∂t (finite diff.),0.0029638997
incipient,5,after,∂Ke/∂t (finite diff.),0.30260673
incipient,5,before,RGz,-0.084951346
incipient,5,after,RGz,0.23473224
incipient,5,before,RKz,-0.10177281
incipient,5,after,RKz,-0.075383223
incipient,5,before,RGe,-0.16273512
incipient,5,after,RGe,-0.2561844
incipient,5,before,RKe,0.3346526
incipient,5,after,RKe,0.1286834
incipient,6,before,Az,0.096275069
incipient,6,after,Az,0.078209323
incipient,6,before,Ae,-0.21104848
incipient,6,after,Ae,0.12690181
incipient,6,before,Kz,0.15800569
incipient,6,after,Kz,0.21631544
incipient,6,before,Ke,-0.3960209
incipient,6,after,Ke,-0.035693517
incipient,6,before,Cz,-0.24747931
incipient,6,after,Cz,0.02419074
incipient,6,before,Ca,-0.083199612
incipient,6,after,Ca,-0.045511507
incipient,6,before,Ck,0.51743211
incipient,6,after,Ck,0.45227398
incipient,6,before,Ce,0.17687322
incipient,6,after,Ce,0.44279946
incipient,6,before,BAz,0.19563019
incipient,6,after,BAz,0.037178915
incipient,6,before,BAe,0.0096388066
incipient,6,after,BAe,0.39248246
incipient,6,before,BKz,0.066853403
incipient,6,after,BKz,-0.10536519
incipient,6,before,BKe,-0.091813873
incipient,6,after,BKe,-0.36278268
incipient,6,before,BΦZ,0.15135929
incipient,6,after,BΦZ,0.12109567
incipient,6,before,BΦE,0.23146799
incipient,6,after,BΦE,0.29674245
incipient,6,before,Gz,-0.1031584
incipient,6,after,Gz,0.084792984
incipient,6,before,Ge,0.47423839
incipient,6,after,Ge,0.53781493
incipient,6,before,∂Az/∂t (finite diff.),-0.18492601
incipient,6,after,∂Az/∂t (finite diff.),-0.34153705
incipient,6,before,∂Ae/∂t (finite diff.),0.33459536
incipient,6,after,∂Ae/∂t (finite diff.),0.21192782
incipient,6,before,∂Kz/∂t (finite diff.),0.090283528
incipient,6,after,∂Kz/∂t (finite diff.),-0.058469031
incipient,6,before,∂Ke/∂t (finite diff.),-0.26047652
incipient,6,after,∂Ke/∂t (finite diff.),-0.014721457
incipient,6,before,RGz,-0.46532974
incipient,6,after,RGz,-0.2972725
incipient,6,before,RKz,-0.06295058
incipient,6,after,RKz,0.0043710458
incipient,6,before,RGe,0.30792994
incipient,6,after,RGe,0.14181467
incipient,6,before,RKe,0.21865399
incipient,6,after,RKe,0.37355622
incipient,7,before,Az,0.033203462
incipient,7,after,Az,0.039519845
