phase,term,n,mean,std,median,q25,q75,version
incipient,Az,4587,658281.81,396142.07,587080.61,352057.67,876820.56,before
incipient,Ae,4587,175006.84,126558.21,136282.12,86131.725,224169.88,before
incipient,Kz,4587,2773012.9,1345785.8,2627477.3,1795834,3563511,before
incipient,Ke,4587,282660.55,166354.47,241669.94,171210.77,346279.3,before
incipient,Cz,4587,0.63046019,5.474598,0.46301794,-2.2320943,3.5109418,before
incipient,Ca,4587,0.6864612,1.3633633,0.33355981,-0.038884599,1.1132911,before
incipient,Ck,4587,-1.7557929,5.6686478,-0.94785259,-3.0574247,0.55648118,before
incipient,Ce,4587,3.7955905,4.7333173,2.5262453,0.83460012,5.6313499,before
incipient,BAz,4587,4.1591305,7.9395461,2.5373231,-0.44696386,7.7741798,before
incipient,BAe,4587,2.2156937,5.3253374,0.96052378,-0.35221985,3.8119674,before
incipient,BKz,4587,-7.1191012,32.904289,-6.0422388,-24.726784,9.0961997,before
incipient,BKe,4587,1.376109,7.5970592,0.40747401,-1.8722565,3.6513592,before
incipient,BΦZ,4587,54.055447,117.53808,46.100403,-9.744072,119.5894,before
incipient,BΦE,4587,36.150023,126.86667,33.547803,-26.671783,110.46573,before
incipient,Gz,4587,-0.62099048,3.6401525,-0.49985804,-2.3811823,1.1641088,before
incipient,Ge,4587,-0.59377942,3.9266061,-0.49717257,-1.9445294,0.93150255,before
incipient,∂Az/∂t (finite diff.),4587,0.58164316,6.0097872,0.37478344,-2.2608939,3.2726037,before
incipient,∂Ae/∂t (finite diff.),4587,-0.072553744,2.7988845,-0.029986256,-0.9624299,0.96398579,before
incipient,∂Kz/∂t (finite diff.),4587,3.4300696,14.511143,2.0414483,-4.421606,10.590841,before
incipient,∂Ke/∂t (finite diff.),4587,1.1270079,3.2038699,0.61552305,-0.48162017,2.2933313,before
incipient,RGz,4587,-2.2605659,8.881577,-1.1384973,-6.2140436,2.4994802,before
incipient,RKz,4587,11.674504,39.204359,8.6965492,-8.3581852,31.308902,before
incipient,RGe,4587,0.82088188,5.9617204,0.7272216,-1.2214493,3.2018805,before
incipient,RKe,4587,-5.8004846,8.9590217,-3.4742708,-8.7841104,-0.66795766,before
intensification,Az,6642,597876.98,351551.64,528350.88,333387.07,794170.39,before
intensification,Ae,6642,188030.99,127033.73,152779.87,93736.864,248589.31,before
intensification,Kz,6642,2947286.7,1469242.1,2743319.9,1871561.4,3801577.7,before
intensification,Ke,6642,376222.53,231205.6,317334.21,207340.62,481539.94,before
intensification,Cz,6642,0.15210785,4.7030069,0.12203439,-2.4062909,2.6972571,before
intensification,Ca,6642,1.1884221,1.59759,0.74258536,0.13174637,1.8519347,before
intensification,Ck,6642,-3.4488662,7.3210981,-1.9311678,-5.7486836,0.15377738,before
intensification,Ce,6642,5.3666544,5.4019743,4.1723845,1.5237214,7.9287832,before
intensification,BAz,6642,4.1758232,7.4479947,2.7597165,-0.1533152,7.5228787,before
intensification,BAe,6642,1.0409007,4.2475839,0.48811109,-0.8567434,2.7482185,before
intensification,BKz,6642,-8.2124624,31.258573,-6.2953929,-24.675418,7.6532685,before
intensification,BKe,6642,1.9576925,7.9259337,0.71084791,-1.7781576,4.3327568,before
intensification,BΦZ,6642,69.442394,118.51305,56.350213,-1.1091816,137.83605,before
intensification,BΦE,6642,45.555399,120.96624,39.579589,-21.777602,115.03303,before
