version,cluster,n,max_vor42_mean,max_vor42_median,season_DJF_pct,season_MAM_pct,season_JJA_pct,season_SON_pct,region_ARG_pct,region_LA-PLATA_pct,region_SE-BR_pct
before,1,662,9.9575441,9.65166,34.743202,24.320242,16.012085,24.924471,47.734139,34.441088,17.824773
before,2,332,9.907768,9.64976,16.86747,22.289157,35.240964,25.60241,67.168675,18.373494,14.457831
before,3,290,10.695406,10.326095,10.344828,18.965517,37.241379,33.448276,52.068966,27.586207,20.344828
before,4,248,10.585637,10.4124,18.548387,27.419355,32.258065,21.774194,46.774194,30.241935,22.983871
before,5,212,10.360759,10.215875,20.283019,26.415094,31.603774,21.698113,58.490566,26.886792,14.622642
after,1,647,9.8415466,9.5968,30.757342,22.720247,20.710974,25.811437,61.978362,20.710974,17.310665
after,2,266,10.725791,10.5749,18.421053,19.172932,31.203008,31.203008,15.413534,58.270677,26.315789
after,3,229,10.440438,10.16154,11.790393,18.340611,39.737991,30.131004,74.672489,15.720524,9.6069869
after,4,206,10.617219,10.467775,22.815534,30.097087,28.15534,18.932039,52.912621,27.669903,19.417476
after,5,138,10.439808,10.207735,18.115942,30.434783,29.710145,21.73913,50.724638,32.608696,16.666667
