track_id,version,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,sign,dominant_eof
19790080,before,1.9215751,0.42133726,0.18242667,-0.50918581,1.3479142,-0.1616394,-1.5352423,0.093704812,positive,1
19790087,before,-0.47046256,0.27216462,-0.39723928,1.8164412,-0.1609976,-0.97561333,0.36398943,-0.44210208,positive,4
19790166,before,1.4211822,-0.083291726,-1.8554564,-2.0124879,-2.7525312,1.2862399,0.99426433,-1.4534046,positive,1
19790293,before,-1.5026619,3.6116272,-0.25037679,-3.4202869,2.510533,1.9486777,1.3361513,2.3499559,positive,2
19790407,before,-0.074951496,-1.4581419,2.4234054,0.33325088,-0.10039356,1.2356922,1.3071927,-3.8405105,positive,3
19790410,before,0.33751354,2.6870464,-0.90178652,1.7986293,0.44512,0.11188832,-0.14790252,1.9303028,positive,2
19790419,before,1.7570925,-0.37639309,1.0799912,-0.56788097,-0.89672459,-0.46065361,-0.94926691,0.58739971,positive,1
19790513,before,-0.66840729,-0.13767085,1.4785877,-0.22255777,-0.34301845,1.1589168,0.27521375,-0.13060379,positive,3
19790535,before,1.812127,1.0461528,1.3941602,-1.2319873,-1.6729344,0.62871751,0.42073637,0.69245617,positive,1
19790542,before,-1.3442356,-1.2182149,-1.6919762,1.8931241,0.35491612,-0.85304042,0.90063852,1.0744794,positive,4
19790574,before,1.3600655,-1.7221332,0.051928479,0.050855531,1.3350026,-1.149591,-0.39204637,1.2132429,positive,1
19790585,before,2.580445,0.94426956,0.70680698,-1.1147714,-0.84209616,1.4978662,1.929726,0.49029925,positive,1
19790626,before,1.4711145,-1.2220858,-1.2117978,-2.7061723,-2.1429261,0.77649392,0.71582322,1.0557801,positive,1
19790632,before,1.7837288,-0.81330139,0.7349423,0.55412267,0.82910197,-0.20419734,1.0558105,0.70361826,positive,1
19790644,before,2.5171933,-0.020353379,-1.3075642,-0.77615874,-1.5511807,0.82333538,0.6380434,0.47629357,positive,1
19790661,before,-0.51320659,0.4498896,1.311647,-0.060154571,-0.69124522,-0.13254217,-0.2202638,-1.5039017,positive,3
19790669,before,-0.067449155,0.59649544,2.7039677,0.51467081,-1.4100511,-1.6025588,0.96821579,0.020363618,positive,3
19790689,before,-0.25276741,-0.24443208,1.3643458,-0.36271259,-0.1166322,-0.51616466,-0.6220452,-0.46908991,positive,3
19790758,before,2.1120963,0.11044023,1.8164811,-1.5624219,1.218676,-0.66838332,0.77246574,0.55636756,positive,1
19790783,before,0.53584487,0.61225404,1.5705084,0.4109502,-0.22714804,-0.31208631,-0.40677495,-0.96012756,positive,3
19790802,before,0.075993774,0.79953323,2.4341843,0.22583715,-1.9077143,0.003097094,0.88949275,0.04911229,positive,3
19790806,before,2.4412326,3.5077765,2.0177728,0.42158957,1.4245582,-0.33953606,0.50187326,0.19211631,positive,2
19790820,before,1.4348117,-1.5677906,0.50144585,-1.5001225,0.52986026,0.51304175,0.53156824,-0.079485658,positive,1
19790835,before,-0.59647381,0.41909969,2.124943,0.26346903,-0.42122774,0.13002454,0.015523039,-1.14362,positive,3
19790867,before,0.8893762,1.6362728,1.0228142,0.053350014,0.91788897,-0.2756298,-0.55996046,0.44143854,positive,2
19790876,before,-0.24787694,1.36136,0.73613721,0.46880053,0.059360147,0.54027563,-0.23527503,0.57274718,positive,2
19790918,before,0.61908963,0.72189042,-0.31075688,1.8307632,1.4080402,1.6284559,-0.79380513,0.073482811,positive,4
19790957,before,-0.70297223,-0.7476831,-0.15240386,1.8716591,-0.45455745,-0.48576831,-0.2519473,-0.56364135,positive,4
19790985,before,-0.23049374,1.525213,-0.65871165,0.49006895,0.67202302,0.56684221,0.030022077,1.0462999,positive,2
19791000,before,0.67468797,0.56817681,1.2631911,1.1556211,-1.1216091,0.68546522,0.72516882,-0.038439421,positive,3
19791008,before,2.5455664,-0.39776112,-2.0321163,2.1002123,1.5179526,-0.015473376,-0.83615189,-0.3997009,positive,1
19791013,before,-1.0439439,0.14847165,-3.27615,3.1322948,1.8904721,1.2004512,0.43009846,1.2137016,positive,4
19791015,before,-0.15665087,0.46432035,2.2351592,2.9708797,-2.4281363,-2.6110987,0.71226159,0.77961557,positive,4
19791021,before,0.61983997,0.99621247,2.3355862,1.5019475,-0.74606677,-1.3173084,1.3622436,0.89385092,positive,3
19791150,before,1.578806,-0.70577539,-1.3573752,-0.60946474,-0.59681388,0.37442882,0.31722941,-0.66857233,positive,1
19800055,before,-0.30304675,-0.40727239,-1.3001046,2.0588624,0.6206755,1.5809209,-1.2923364,-0.36452704,positive,4
19800114,before,2.0581483,-0.51950646,0.54333418,-1.3890812,1.1418026,-0.24051509,0.24769246,-0.26754716,positive,1
19800170,before,-0.1144791,1.7713487,0.11491585,1.2937541,0.38525191,-0.43847725,0.035735984,-0.0064787081,positive,2
19800256,before,2.4317224,-1.0004366,-0.59744691,-0.9554208,-0.45723905,-1.6113046,-0.14196126,1.0756708,positive,1
19800273,before,-0.1904869,0.29120003,2.2608493,0.70974851,-0.98481361,0.07094307,-0.26893807,0.061110012,positive,3
19800300,before,-0.1453991,1.5473038,1.6773159,-0.63241214,0.66893424,-0.39898532,1.0509908,0.049144315,positive,3
19800318,before,1.8861733,-0.64485369,-1.1256742,-0.6821786,-1.2267872,-1.3303601,-1.1222343,0.85552978,positive,1
19800322,before,-1.4208935,0.17571299,-0.25703064,1.890627,-1.2190926,-1.2882292,1.2988176,0.54200192,positive,4
19800328,before,-0.67130844,1.3712319,-1.2195848,0.12940828,0.77183733,-0.10126695,0.39491845,0.27366544,positive,2
19800336,before,-0.60064187,2.2461266,1.4627453,-0.11113154,-0.40066534,-1.0937219,-0.033576394,-0.69651112,positive,2
19800347,before,2.0763662,3.1833241,3.9358003,1.0006306,-2.5804835,-0.83999757,0.020727182,1.2798937,positive,3
19800411,before,1.9061888,-0.63482929,-0.045090707,-0.075411037,-1.2117604,-0.34733338,1.4855514,1.1701432,positive,1
19800423,before,-1.1008068,0.13814671,1.6668753,-0.12476081,-1.9709053,1.6217146,0.0069270675,-1.7242948,positive,3
19800434,before,2.4206066,0.3993411,0.31783547,-1.4342622,1.9809912,-2.4916361,-2.5558776,1.8563708,positive,1
19800445,before,-0.65483631,1.5626657,-0.74851485,1.2006477,-0.0013242477,-1.3556073,-0.7334243,0.14717624,positive,2
19800455,before,1.4962934,0.91532847,-0.54017708,-0.36886951,-1.9338106,0.29054348,-1.1783269,-1.1145838,positive,1
19800460,before,-0.12823064,1.6619059,-1.9267131,5.4610818,-2.3984656,-1.6310403,1.7658048,1.8319655,positive,4
19800464,before,1.9318368,1.206094,0.24057915,-1.291262,-1.0570087,0.26399729,-0.46849182,-0.76130666,positive,1
19800473,before,0.82261049,2.8069748,1.4384313,-0.16932606,0.96177123,2.3581703,-1.0010115,0.075032454,positive,2
19800482,before,-0.39389757,2.1587255,-0.71795049,0.85039406,0.54952173,-0.93763219,0.36612945,0.6277478,positive,2
19800525,before,-0.5910387,-0.903839,2.0016033,0.62668881,-0.81757531,1.0082754,-0.25124481,-2.0243087,positive,3
19800537,before,2.7944223,0.29877486,-4.449751,1.8924231,1.125155,0.37403812,-1.1868436,-1.4108868,positive,1
19800550,before,-0.52690238,0.2440663,2.6724056,0.40393096,-1.1599045,1.0051926,0.18555254,-0.57734448,positive,3
19800553,before,1.974354,0.36113185,1.9784289,-1.1602245,0.58791713,0.22369912,1.0617272,0.17038062,positive,3
19800583,before,-0.55892983,1.5909807,-1.3944782,1.312164,0.81949229,0.090747509,-0.59826363,0.9524777,positive,2
19800601,before,1.5623123,0.30776712,0.86969659,-1.511457,-1.118097,0.26907791,0.11780419,0.3603702,positive,1
19800621,before,4.3313786,1.451269,2.1139865,1.3081658,2.0732745,0.77283002,0.97238144,0.21191788,positive,1
19800622,before,2.3783515,-1.6458206,-0.056345648,-1.3998532,0.79347632,-1.0897915,-1.2547766,1.2464827,positive,1
19800626,before,-0.72220117,-0.98570786,-2.8026142,3.6201104,-0.054524381,-0.2123443,-0.51541761,-0.22349092,positive,4
19800640,before,0.8891062,0.34148093,-1.2433347,1.5604359,-0.28265503,-1.8773127,-0.74952975,0.0068556409,positive,4
19800646,before,0.066001456,-0.079938589,-0.31297932,1.4173711,-1.1724383,0.021330536,-0.48928893,0.35037807,positive,4
19800657,before,0.76975427,-0.90407664,1.3591096,-0.38276624,0.34471533,-0.88962252,0.46262274,1.0893468,positive,3
19800673,before,2.0378616,1.1495612,0.81334823,1.3309709,1.727022,-0.35495321,1.1775035,-1.2995302,positive,1
19800695,before,1.4651948,-1.2393363,-0.25518924,-0.74700758,0.34868962,-0.57431827,-0.93880802,-0.719721,positive,1
19800724,before,-0.31291388,0.74744019,-2.3184532,3.8452364,-0.15228072,1.2696777,0.1537258,2.5230911,positive,4
19800725,before,1.6085641,0.25950329,-0.77900842,-0.4209961,-1.6461255,-0.28690083,0.33396696,-0.028714575,positive,1
19800733,before,-0.71460865,-0.55309385,1.6010671,0.28662358,-0.52887072,1.0412855,-0.6476944,-0.51828173,positive,3
19800810,before,1.6412353,0.31895122,0.39138295,-0.10653945,-0.19864458,0.3479929,-0.99974529,1.3466849,positive,1
19800835,before,-0.53191055,-0.20269524,0.21153612,1.3084107,-0.21027858,-1.2703827,0.49319582,-1.5388711,positive,4
19800851,before,-0.69872847,1.898293,0.93723848,0.44104938,0.051334321,0.25980863,-0.092497542,0.064695955,positive,2
19800870,before,1.0202205,-0.37830011,2.5096481,0.9878835,0.73006807,-0.035233798,0.74771734,0.11815968,positive,3
19800871,before,1.5283159,-0.53508256,0.12003985,2.5046479,1.8798673,-0.26687373,-1.3191931,-0.68264429,positive,4
19800873,before,0.54487579,0.60245006,1.2904406,0.85477599,1.0063415,-0.10170518,-0.037944162,0.036112868,positive,3
19800887,before,0.74194111,0.55222362,0.29675398,2.088443,-0.38129403,0.10008803,0.12300721,-0.13689663,positive,4
19800901,before,-0.71397075,0.99713609,-1.8369219,1.5200478,0.6486163,-0.094985655,-0.66027292,1.0718931,positive,4
19800940,before,-0.16740988,3.1133898,0.59332733,0.048740814,0.62557802,-0.70434457,-0.6564023,0.61138522,positive,2
19800948,before,0.028680351,-1.4591988,0.38943606,1.3301529,-0.35406338,-1.0608961,0.19182359,-1.110173,positive,4
19801009,before,-0.63757933,0.18362574,1.76278,0.2286813,-0.7156181,1.1714304,0.10543081,0.13686901,positive,3
19801023,before,1.2358489,-1.0461461,-0.30709654,2.3384834,1.8656682,1.6325397,0.91303565,-1.2531379,positive,4
19801034,before,0.96453405,2.3027296,3.541248,-0.1572881,-0.82864183,1.7310651,-0.10461284,1.8010752,positive,3
19801064,before,-0.40935376,-0.56143033,-0.995798,1.9515071,0.29224887,0.59777331,-0.22991079,0.28532572,positive,4
19801105,before,0.28187722,1.7478972,-1.8199953,-1.856594,-2.3442166,0.26691025,1.7421258,-2.2986114,positive,2
19810013,before,-0.11354337,-0.49695317,-0.86586991,1.7682316,1.4941637,0.48403816,-0.43333129,-0.23368687,positive,4
19810055,before,3.057301,-2.3906132,-0.47415733,-0.24277348,2.2472586,-2.0795989,2.5709764,-2.0870628,positive,1
19810096,before,2.0797498,-1.5880302,-2.4419908,-1.3912202,-0.94396404,-0.17796612,0.88163085,0.26294962,positive,1
19810133,before,0.8738045,1.5523621,0.84519223,-0.10841806,1.2424486,-1.2903515,-0.096877387,0.016655497,positive,2
19810160,before,-0.65197067,-0.14487969,-1.2302302,1.7687408,-0.1696477,-0.49621821,0.65308939,-0.11515657,positive,4
19810179,before,0.66745498,-0.63302978,1.6332431,0.15195426,-0.98864537,-0.3589652,0.24543287,0.82516535,positive,3
19810189,before,-0.3016123,-0.56423806,-0.99390349,1.5235546,0.27464801,0.80081767,-0.40401869,-0.59296602,positive,4
19810229,before,1.5299673,-0.0058860614,-1.3535439,-0.34032643,-1.6194835,0.41387383,-0.19207273,-0.11473714,positive,1
19810349,before,1.4677464,0.78543932,0.74424467,-1.2581525,0.7673684,-1.6793093,1.2794384,-1.1557963,positive,1
19810388,before,0.14465897,0.28363622,2.2786503,-0.19272567,-1.4120762,0.69078242,1.1213049,-0.49977071,positive,3
19810440,before,0.063323898,0.5589339,0.41173867,1.6852967,0.18290344,0.1398073,0.17956549,0.007433112,positive,4
19810450,before,1.1610065,1.7050923,0.066018196,0.22173683,0.65667983,0.36756311,-0.34612101,0.1766494,positive,2
19810473,before,2.9355706,1.0727361,0.73569531,0.54027781,1.4207624,-1.2407166,-0.16536527,-0.7675324,positive,1
19810475,before,-0.80303165,1.4073433,-0.5185455,-0.48164164,-1.4094282,-2.0866219,1.1803037,-0.97046465,positive,2
19810481,before,0.94624259,-1.7193119,-3.942157,3.1983558,1.0096451,-0.42489348,1.7842873,-0.86948943,positive,4
19810545,before,-0.66908464,-2.1468404,-1.1105223,2.8820945,-0.12670974,1.946256,-0.82651881,-0.66167501,positive,4
19810554,before,-0.22996579,0.47258438,1.2632615,-0.072052403,-0.01507266,0.77073562,0.15889482,0.45020994,positive,3
19810578,before,0.13247984,1.2635484,-0.25302925,2.3200413,-0.63802233,-0.66681024,0.094043436,1.359476,positive,4
19810586,before,1.6195447,-0.2731448,-0.43502215,1.0857259,-1.9791802,-1.080432,-0.062478146,-1.164658,positive,1
19810618,before,0.73477548,0.59534276,0.87975037,1.3553202,-1.8057531,-0.82805158,-0.097386466,0.15417352,positive,4
19810626,before,1.6357648,0.057656016,0.33900987,-0.39458902,-2.6862348,0.32828599,0.20477202,-0.1709832,positive,1
19810641,before,-1.7786185,-1.6151596,-1.3719803,1.8991179,-0.09892351,-0.9654189,1.2644642,0.32899445,positive,4
19810650,before,-0.58333078,1.5111336,0.80055717,0.51268655,-1.4092347,-0.53538719,-0.33021537,0.62733216,positive,2
19810691,before,2.1455526,1.4014487,-1.2453688,-1.0557222,-2.712133,-0.73348165,-1.9833298,0.42057226,positive,1
19810692,before,1.9351633,0.76046713,-0.50561568,0.06818268,0.56727193,0.81035193,-2.8123891,0.56058596,positive,1
19810733,before,0.092024986,1.6699795,1.5476391,0.92859206,-2.0005658,1.3301401,-0.0532822,1.5626295,positive,2
19810736,before,-0.28819949,1.6743323,0.27754557,-0.0030100332,1.1824597,1.5331871,1.100703,-0.28647549,positive,2
