version,eof,term,loading
before,1,Az,0.26106037
before,1,Ae,0.70249256
before,1,Kz,0.37820433
before,1,Ke,0.60475443
before,1,Cz,-0.081545693
before,1,Ca,0.89265856
before,1,Ck,-0.4816903
before,1,Ce,0.86106336
before,1,BAz,0.53106767
before,1,BAe,-0.20571616
before,1,BKz,-0.64137029
before,1,BKe,0.02805861
before,1,BΦZ,0.64927075
before,1,BΦE,0.50847251
before,1,Gz,-0.19330753
before,1,Ge,0.58295483
before,1,∂Az/∂t (finite diff.),-0.10628401
before,1,∂Ae/∂t (finite diff.),0.079889572
before,1,∂Kz/∂t (finite diff.),0.2546687
before,1,∂Ke/∂t (finite diff.),0.1922091
before,1,RGz,-0.49576756
before,1,RKz,0.70993032
before,1,RGe,0.76849339
before,1,RKe,-0.83183217
before,2,Az,0.35316016
before,2,Ae,-0.1859146
before,2,Kz,0.28737658
before,2,Ke,-0.35482473
before,2,Cz,0.2919675
before,2,Ca,-0.057885816
before,2,Ck,-0.16615672
before,2,Ce,-0.15546338
before,2,BAz,0.021654059
before,2,BAe,0.031529545
before,2,BKz,-0.46170645
before,2,BKe,-0.44378234
before,2,BΦZ,0.24603399
before,2,BΦE,0.1570141
before,2,Gz,0.21727918
before,2,Ge,-0.12342936
before,2,∂Az/∂t (finite diff.),0.6808315
before,2,∂Ae/∂t (finite diff.),-0.072274062
before,2,∂Kz/∂t (finite diff.),0.63102633
before,2,∂Ke/∂t (finite diff.),-0.31968589
before,2,RGz,0.46890514
before,2,RKz,0.55370322
before,2,RGe,-0.18298311
before,2,RKe,0.21858045
before,3,Az,-0.24162949
before,3,Ae,0.22639393
before,3,Kz,0.17186643
before,3,Ke,-0.015729035
before,3,Cz,-0.5352739
before,3,Ca,-0.2250821
before,3,Ck,0.4206182
before,3,Ce,0.27146765
before,3,BAz,-0.46406047
before,3,BAe,0.70026515
before,3,BKz,0.023983633
before,3,BKe,0.2338531
before,3,BΦZ,0.54524447
before,3,BΦE,0.66633595
before,3,Gz,-0.062390116
before,3,Ge,0.17854359
before,3,∂Az/∂t (finite diff.),-0.0060781264
before,3,∂Ae/∂t (finite diff.),-0.38081798
before,3,∂Kz/∂t (finite diff.),0.030418362
before,3,∂Ke/∂t (finite diff.),-0.27548077
before,3,RGz,0.1231398
before,3,RKz,-0.04457125
before,3,RGe,-0.34312136
before,3,RKe,0.0043339764
before,4,Az,0.7008709
before,4,Ae,-0.0035341758
before,4,Kz,0.67863983
before,4,Ke,-0.30005954
before,4,Cz,-0.033772203
before,4,Ca,-0.010489289
before,4,Ck,0.20821248
before,4,Ce,-0.025915457
before,4,BAz,0.40733268
before,4,BAe,0.19632647
before,4,BKz,0.16851412
before,4,BKe,0.091590339
before,4,BΦZ,-0.019177975
before,4,BΦE,-0.10983239
before,4,Gz,-0.43379406
before,4,Ge,-0.18883113
