PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,version,cluster
0.028297146,-0.20481131,0.17766728,-0.44560147,-0.14965128,0.080064965,-0.09365867,0.0048567155,before,1
0.17176941,-0.42118228,0.033590489,0.96347776,-0.55567731,-0.11432744,0.1009635,-0.073762382,before,2
0.70526143,0.38494348,1.4303591,0.38018645,-0.82521443,0.48679639,0.46927729,0.35466532,before,3
1.7461737,-0.24430288,-0.62386262,-0.55733831,-1.3424622,0.09929171,0.28449823,-0.12390476,before,4
0.50362004,-1.1097023,0.33234232,-0.30227389,0.44120392,-0.60809934,-0.054811606,1.7174087,before,5
-0.11110552,-0.18559247,0.016126216,0.042405885,-0.15692426,-0.13660952,-0.18826919,-0.11163057,after,1
0.73982623,-0.22099012,0.7064087,-0.27449408,1.1009224,-0.54034055,0.53888676,-0.74537402,after,2
0.63591948,0.44475629,1.4378765,-0.51681504,-0.20384554,0.88848064,-0.29299349,0.45507957,after,3
1.6020907,-0.3126916,-0.3582197,-0.60127672,-1.248231,0.013801266,0.52312684,-0.34575393,after,4
0.24940449,-1.4974223,-0.22000404,-0.094414836,1.1899935,0.55650056,0.11719661,1.3193244,after,5
