scope,eof,version,n,explained_variance_pct,matched_rank,pattern_correlation
incipient,1,before,4587,20.788841,1,1
incipient,1,after,3820,20.579724,1,0.85549043
incipient,2,before,4587,13.704764,2,1
incipient,2,after,3820,10.54816,3,0.77392001
incipient,3,before,4587,11.978393,3,1
incipient,3,after,3820,14.023895,2,0.93905862
incipient,4,before,4587,8.6626669,4,1
incipient,4,after,3820,8.8649072,4,0.82071325
incipient,5,before,4587,6.7070019,5,1
incipient,5,after,3820,7.5381544,5,0.7301227
incipient,6,before,4587,6.4640283,6,1
incipient,6,after,3820,6.6004234,6,0.7072171
incipient,7,before,4587,5.0560699,7,1
incipient,7,after,3820,4.8460547,8,0.98068142
incipient,8,before,4587,4.8312358,8,1
incipient,8,after,3820,5.0444729,7,0.87857254
intensification,1,before,6642,28.626835,1,1
intensification,1,after,3820,27.549174,1,0.8235927
intensification,2,before,6642,12.327574,2,1
intensification,2,after,3820,14.148976,2,0.71285753
intensification,3,before,6642,11.039103,3,1
intensification,3,after,3820,9.4717749,4,0.62813496
intensification,4,before,6642,8.8314817,4,1
intensification,4,after,3820,10.547213,3,0.91337328
intensification,5,before,6642,6.1554595,5,1
intensification,5,after,3820,6.4794521,6,0.6717622
intensification,6,before,6642,5.7903754,6,1
intensification,6,after,3820,6.9993081,5,0.55388897
intensification,7,before,6642,5.3232917,7,1
intensification,7,after,3820,4.5452471,8,0.64775215
intensification,8,before,6642,4.2642903,8,1
intensification,8,after,3820,4.6355025,7,0.85228108
mature,1,before,4747,28.471949,1,1
mature,1,after,3820,26.30365,1,0.77161872
mature,2,before,4747,11.727633,2,1
mature,2,after,3820,11.802134,2,0.69125675
mature,3,before,4747,9.9536979,3,1
mature,3,after,3820,10.205477,3,0.51953194
mature,4,before,4747,8.5436307,4,1
mature,4,after,3820,9.3031244,4,0.8102142
mature,5,before,4747,7.6681197,5,1
mature,5,after,3820,8.6361969,5,0.68064144
mature,6,before,4747,6.0163697,6,1
mature,6,after,3820,6.1729546,6,0.84219072
mature,7,before,4747,5.1253553,7,1
mature,7,after,3820,5.5344027,7,0.90300556
mature,8,before,4747,4.0200326,8,1
mature,8,after,3820,3.8179982,8,0.22996369
decay,1,before,6488,29.026954,1,1
decay,1,after,3820,29.174583,1,0.79874692
decay,2,before,6488,10.601571,2,1
decay,2,after,3820,11.071529,2,0.79973902
decay,3,before,6488,9.725767,3,1
decay,3,after,3820,9.0790988,3,0.71930759
decay,4,before,6488,8.4158728,4,1
decay,4,after,3820,8.0412861,4,0.68624584
decay,5,before,6488,6.4456961,5,1
decay,5,after,3820,6.1259375,6,0.5942365
decay,6,before,6488,5.8062638,6,1
decay,6,after,3820,5.2663733,7,0.67500164
decay,7,before,6488,5.136116,7,1
decay,7,after,3820,6.6439514,5,0.70669001
decay,8,before,6488,4.6631608,8,1
decay,8,after,3820,4.3723805,8,0.48350559
