track_id,version,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
19790001,before,-0.048444876,0.043392243,0.84509004,-0.17962422,0.32109345,0.046254883,0.17125834,-1.0386454
19790006,before,0.24075105,-0.19119734,-1.7257726,0.42836046,-0.16926087,-0.45825703,0.92738789,0.55273914
19790026,before,-0.16771376,-0.44411941,-0.032891716,0.082267714,0.026481559,-0.87031439,-1.3335417,-0.010777983
19790036,before,-0.61118511,0.11551988,0.53518506,-0.86494861,-0.547806,0.075819715,-0.53648932,-0.25971077
19790048,before,0.62938577,-0.73160057,-0.35022733,-0.89478091,-0.25475503,0.7039575,1.126471,-0.61854891
19790052,before,1.6189447,1.3639262,-0.46564214,-0.77647949,1.6337946,-1.0523438,-2.6699732,0.048857879
19790057,before,-0.94895341,0.17115399,0.64936764,0.45968188,0.70636353,0.36346058,-1.0261267,-0.29041424
19790063,before,-0.91385859,0.078703523,-0.095986256,-0.70691371,0.34570897,-0.15336444,-0.67490951,-0.42292333
19790071,before,-1.3792635,-0.70462066,-0.38074963,-0.52521732,0.13857943,-0.039116411,-0.018996291,-0.4525434
19790076,before,-0.12043087,-0.14983758,-0.0080858262,0.53869949,0.56596755,-2.1087785,-0.14317614,-1.2325463
19790079,before,-1.0552289,-0.63257887,-0.38728272,-0.46654407,-0.90093518,-0.44270012,1.7906734,1.309875
19790080,before,1.9215751,0.42133726,0.18242667,-0.50918581,1.3479142,-0.1616394,-1.5352423,0.093704812
19790087,before,-0.47046256,0.27216462,-0.39723928,1.8164412,-0.1609976,-0.97561333,0.36398943,-0.44210208
19790094,before,-0.43934193,-0.69659195,-0.33815632,0.011241397,0.59849948,-0.58748872,-1.2871481,0.82978439
19790097,before,0.21285928,0.057773612,0.57893712,-0.54378777,0.040062546,-0.62655966,-0.46186734,0.17441663
19790101,before,0.32077859,-0.40285899,-0.080948989,-0.63720559,-0.87179438,-0.56438218,-0.5495861,-0.15097877
19790119,before,-0.43089599,-1.1409246,0.071541285,-0.27215193,-0.36051558,-0.34693032,-0.33586095,1.2741564
19790131,before,-0.16306326,-0.43220893,0.31035606,-0.69893602,-0.02165822,-1.8843094,-1.4894857,-0.90249986
19790135,before,1.0125985,-0.054127465,-0.20615881,-1.1453701,-1.8138965,-0.22676574,0.017354724,-0.91149838
19790137,before,-0.74987379,-0.062356104,-0.36900933,-1.8086538,-0.73111706,-0.21978503,1.7461644,0.81296965
19790140,before,-0.49249905,-2.9240933,0.33076395,1.2515038,0.60363924,0.77460674,0.63317099,-0.19397626
19790144,before,0.19433029,-0.21641522,-0.20520646,-0.33815217,-0.64879914,0.29047109,-0.20747099,-0.76926566
