track_id,cluster,version
19790001,1,before
19790048,2,before
19790094,2,before
19790097,1,before
19790101,2,before
19790135,3,before
19790144,1,before
19790166,4,before
19790205,2,before
19790213,1,before
19790322,1,before
19790339,1,before
19790369,1,before
19790391,2,before
19790414,1,before
19790455,1,before
19790550,3,before
19790585,3,before
19790618,1,before
19790644,4,before
19790690,2,before
19790697,1,before
19790770,1,before
19790802,1,before
19790820,4,before
19790842,1,before
19790847,1,before
19790917,1,before
19790933,2,before
19790946,1,before
19790971,1,before
19791000,1,before
19791011,3,before
19791038,2,before
19791045,1,before
19791068,1,before
19791072,2,before
19791150,2,before
19800073,1,before
19800192,1,before
19800221,2,before
19800237,2,before
19800256,4,before
19800318,4,before
19800401,4,before
19800411,3,before
19800418,1,before
19800440,2,before
19800455,1,before
19800464,2,before
19800550,1,before
19800614,1,before
19800636,1,before
19800646,1,before
19800657,2,before
19800703,1,before
19800725,3,before
19800759,1,before
19800811,1,before
19800887,1,before
19800898,1,before
19800936,1,before
19800948,1,before
19800999,1,before
19801016,1,before
19801032,3,before
19801046,2,before
19801082,1,before
19810014,2,before
19810093,1,before
19810169,1,before
19810179,2,before
19810196,2,before
19810279,3,before
19810303,1,before
19810349,1,before
19810388,1,before
19810394,1,before
19810462,1,before
19810519,2,before
19810554,1,before
19810568,1,before
19810609,1,before
19810626,2,before
19810659,1,before
19810666,1,before
19810721,1,before
19810871,1,before
19810938,1,before
19810971,4,before
19810994,1,before
19811035,1,before
19811042,1,before
19811049,2,before
19811096,1,before
19811153,2,before
19820026,1,before
19820097,1,before
19820099,2,before
19820102,1,before
19820128,1,before
19820143,1,before
19820253,2,before
19820292,2,before
19820337,2,before
19820453,1,before
19820471,2,before
19820514,1,before
19820549,2,before
19820602,4,before
19820652,1,before
19820671,3,before
19820697,1,before
19820712,2,before
19820765,1,before
19820786,3,before
19820808,1,before
19820816,1,before
19820831,3,before
19820917,4,before
19820953,1,before
19820983,2,before
19821001,3,before
19821022,3,before
19821068,3,before
19821079,4,before
19821113,1,before
19821126,1,before
19830021,1,before
19830040,1,before
19830050,1,before
19830126,1,before
19830179,1,before
19830215,1,before
19830250,1,before
19830362,1,before
19830399,1,before
19830416,2,before
19830443,1,before
19830490,1,before
19830515,2,before
19830575,2,before
19830591,1,before
19830710,3,before
19830760,1,before
19830793,1,before
19830808,1,before
19830822,1,before
19830832,3,before
19830845,1,before
19830855,1,before
19830875,1,before
19830888,1,before
19830893,1,before
19830921,3,before
19831059,2,before
19831065,2,before
19831140,1,before
19831157,1,before
19831165,1,before
19840010,1,before
19840018,1,before
19840073,2,before
19840098,2,before
19840114,1,before
19840159,1,before
19840167,2,before
19840188,2,before
19840365,1,before
19840433,2,before
19840478,2,before
19840520,1,before
19840531,2,before
19840533,2,before
19840557,2,before
19840570,3,before
19840606,2,before
19840635,3,before
19840674,1,before
19840812,1,before
19840829,1,before
19840834,4,before
19840883,2,before
19840892,2,before
19840975,2,before
19840990,1,before
19841073,2,before
19841112,2,before
19841134,1,before
19850021,1,before
19850063,1,before
19850099,1,before
19850122,2,before
19850238,1,before
19850248,3,before
19850253,1,before
19850265,3,before
19850286,1,before
19850310,1,before
19850316,2,before
19850329,1,before
19850342,2,before
19850348,1,before
19850359,1,before
19850375,3,before
19850402,1,before
19850438,2,before
19850479,1,before
19850509,2,before
19850529,2,before
19850565,1,before
19850639,2,before
19850648,3,before
19850738,3,before
19850785,2,before
19850797,1,before
19850815,2,before
19850849,2,before
19850897,1,before
19850923,1,before
19851050,1,before
19860008,1,before
19860029,1,before
19860076,1,before
19860092,1,before
19860095,4,before
19860138,1,before
19860146,1,before
19860154,2,before
19860162,2,before
19860178,2,before
19860195,1,before
19860202,2,before
19860208,1,before
19860229,3,before
19860295,2,before
19860298,2,before
19860330,1,before
19860346,1,before
19860349,1,before
19860409,2,before
19860410,4,before
19860430,2,before
19860443,3,before
19860512,1,before
19860526,1,before
19860584,2,before
19860599,1,before
19860601,3,before
19860608,4,before
19860610,1,before
19860681,1,before
19860758,1,before
19860766,1,before
19860771,2,before
19860773,2,before
19860782,1,before
19860849,1,before
19860853,3,before
19860874,3,before
19860879,1,before
19860921,1,before
19860963,4,before
19860987,1,before
19861021,1,before
19861054,1,before
19861094,3,before
19861098,1,before
19870025,2,before
19870214,1,before
19870237,1,before
19870253,2,before
19870280,1,before
19870300,3,before
19870483,1,before
19870495,2,before
19870548,3,before
19870641,1,before
19870642,2,before
19870649,2,before
19870709,3,before
19870710,4,before
19870714,1,before
19870741,1,before
19870780,1,before
19870793,2,before
19870818,2,before
19870825,1,before
19870848,2,before
19870926,1,before
19871082,1,before
19871097,2,before
19871122,2,before
19880012,2,before
19880042,2,before
19880056,1,before
19880068,1,before
19880173,1,before
19880179,1,before
19880215,1,before
19880225,1,before
19880256,2,before
19880272,1,before
19880299,4,before
19880341,2,before
19880407,1,before
19880481,4,before
19880490,2,before
19880648,1,before
19880650,1,before
19880698,1,before
19880800,1,before
19880869,1,before
19880874,3,before
19880933,1,before
19880946,4,before
19880957,1,before
19880964,4,before
19880984,2,before
19881004,2,before
19881033,1,before
19881039,2,before
19881046,2,before
19881132,1,before
19881142,1,before
19890017,1,before
19890075,1,before
19890079,1,before
19890108,2,before
19890146,1,before
19890152,2,before
19890206,1,before
19890281,1,before
19890312,1,before
19890324,4,before
19890330,1,before
19890381,1,before
19890383,3,before
19890398,1,before
19890430,2,before
19890504,1,before
