scope,track_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
incipient,19790824,-0.28629933,-0.045834196,0.80623912,-0.83158284,-0.47892899,-0.29630172,-0.71731031,-0.32587876
incipient,19790835,-0.72170382,-0.65058195,-0.8490891,-0.93229064,-1.6956484,-0.18307159,0.25869839,0.5939063
incipient,19790842,1.1776086,-3.0154979,-0.23995363,-0.49066963,0.3449736,-1.2947974,0.97554923,1.5054421
incipient,19790847,-1.9230882,0.1573091,-1.5415575,0.88923209,1.3985001,0.057425992,1.2942942,1.7818954
incipient,19790898,-0.13945833,-0.32921544,0.54246159,-0.059492739,-0.38895187,-0.039744368,-0.79006791,-0.17992216
incipient,19790903,-1.194744,-1.4354191,1.4715496,1.5442808,-0.014350354,0.31701722,0.17559427,-1.1168971
incipient,19790917,-0.048205617,0.43269425,0.5347753,-0.17072221,0.33157728,-0.47076705,-0.49278649,0.46710375
incipient,19790918,0.91733602,0.30388149,0.021911393,1.9997958,-0.26180031,0.70996289,-0.87054185,0.93064205
incipient,19790931,0.18081183,0.10142843,-0.52653545,0.78565868,-1.9578487,-0.42521017,0.013560735,-0.41492505
incipient,19790933,0.32736995,-1.4891699,2.0982656,1.2420076,0.97677775,-0.10965824,0.19080843,-0.20568038
incipient,19790946,2.1904876,0.32675277,0.47741627,-0.32862965,-0.26545683,1.2597921,0.091187202,0.88560387
incipient,19790957,-0.37338559,-2.2289714,1.0066693,0.69735623,-1.0298039,-0.90596328,-0.14998641,1.0746174
incipient,19790958,-0.65004619,0.71704646,0.75269922,-0.36794966,0.78101403,0.30181177,-0.17628465,0.73491169
incipient,19790971,-0.14499251,1.0097303,-0.59176635,1.0542773,-0.50487799,0.60171875,0.51576533,0.47598568
incipient,19790972,0.14484673,-0.65873657,0.64262843,-1.4386952,-0.25227934,-1.1874507,-0.45997479,0.77022386
incipient,19790977,-0.31419791,0.19951888,0.33605622,0.2593046,-0.73042002,-0.21385062,-0.39096435,-0.24258159
incipient,19790985,-0.14583856,1.450297,-0.75672865,1.1606857,0.68971277,-0.81793999,-0.094075569,1.3503245
incipient,19791000,0.18335776,-0.5245028,-0.62804089,1.6266651,-0.21872874,1.3280878,-0.23536343,0.22845271
incipient,19791008,1.6482045,-0.66038993,0.94002757,1.1579113,-0.18050587,-0.19281511,0.72928572,0.54993841
incipient,19791011,-0.58241814,0.71667028,0.37965131,-0.35411097,-0.48233325,-0.24280231,0.16252138,-0.081052007
incipient,19791015,0.60219115,-1.1578953,-3.9696346,0.50116207,-1.2071383,-1.2821179,-0.98556141,-0.89475908
incipient,19791038,0.30726271,1.1049553,0.74274975,-1.1995314,0.32501068,1.6731869,1.4960047,-0.23298145
incipient,19791045,-0.86807976,0.69014217,0.53837546,-0.75276318,0.078391609,-0.2868512,-0.19643996,0.029282348
incipient,19791063,-0.46122415,-0.31888985,0.37202678,-1.2008571,-1.3340216,-0.48912069,-0.93335852,0.14611492
incipient,19791068,-0.064638087,0.071341428,0.97675129,1.4239431,0.15124495,0.83017759,-0.75925642,0.31522497
incipient,19791072,0.51215929,1.1492332,-0.30160651,0.067456108,-0.24300572,-0.12542362,-0.25122327,0.5371701
incipient,19791086,-0.6437424,0.79914942,0.085659243,-0.68923244,-0.17849782,-0.29408842,0.068397945,-0.086285698
incipient,19791091,-1.5456522,-1.6108539,-0.36331166,-0.77998356,0.15251876,-0.70272507,-0.73152625,-0.3849677
incipient,19791097,0.64913313,-0.99588299,1.6107329,0.078085467,-1.0743597,-0.76164876,0.91859607,1.5219295
incipient,19791133,-0.50111243,-0.1026964,-0.72144025,-0.95740091,0.71647127,0.61789701,-0.21704827,-0.74320194
incipient,19791146,0.040223854,1.0433903,1.1808219,-1.4207981,-0.58447558,1.1662459,1.6102138,-0.42223085
incipient,19791150,0.55196437,0.53207722,0.42095118,0.85428688,0.7926433,0.1373812,-0.71308662,0.29879024
incipient,19800005,-1.1249412,-0.31942888,0.21164489,-0.32259274,0.19973546,0.27904175,0.1596918,-0.043749738
incipient,19800006,-0.16476955,0.15752759,0.45607596,0.41479403,-0.13233528,-0.37384563,-1.3076248,-0.26716981
incipient,19800015,-0.78852787,0.34951343,0.3288755,-0.45495372,0.16150859,-0.39541319,-0.77338265,-0.43967392
incipient,19800016,-0.4480792,0.70714749,-0.14981095,0.63876502,-0.27416358,0.27259814,-0.51992298,0.32287161
incipient,19800021,-0.83834282,0.87231997,0.70869964,-0.71152513,0.30059013,-0.39788897,-0.41120158,0.17628928
incipient,19800028,-1.8376956,-0.46950752,-0.17618451,-0.46000037,0.3497065,0.92568489,0.80664351,-0.62077795
incipient,19800033,-0.34099495,1.0267491,-2.7132758,0.026819442,1.1126626,-0.16975871,-1.7346716,0.59240178
incipient,19800064,-0.62063356,-0.24139169,0.24704304,-0.059736656,-0.34601459,-0.92707564,-1.1287402,-0.99596542
incipient,19800068,-0.58044065,0.91823564,0.60572475,-0.83373323,0.0072002675,-0.19376546,-0.26599336,-0.11188128
incipient,19800073,-0.43734234,0.30917575,0.76200658,0.76974434,-0.059224893,0.34891009,-0.88033002,0.12104276
incipient,19800085,-1.1770523,-0.15553097,0.077974813,1.0794292,0.34591857,0.86188802,0.30675409,-0.4359632
incipient,19800090,-0.71603115,-0.036434292,0.62391587,0.11829008,0.30645507,-0.41710152,-1.2353638,-0.23983528
incipient,19800094,-0.61539777,0.72197086,0.14176905,-0.7326945,0.61749741,0.15690371,-0.13626638,0.057065574
incipient,19800097,0.18792877,-0.48115199,0.81214047,-0.78400495,0.6282646,-0.38200154,0.31542188,0.88236182
incipient,19800114,1.0242411,1.1678872,-0.49579534,-0.98938577,0.50986699,1.8619638,0.038715652,-0.27376275
incipient,19800123,-0.56430186,-0.041104064,0.60043673,1.3985782,-0.034048899,0.054785809,-0.74398935,0.21785122
incipient,19800134,0.39893831,0.88258789,0.44227419,0.013768334,3.5536065,-1.3082377,0.08183414,-5.1813454
incipient,19800155,-0.56853269,0.56862114,0.49700634,-1.1617713,-0.093123462,-0.56793761,-0.015701192,0.73723323
incipient,19800157,0.04375775,-2.0502084,-1.6589545,-1.3103995,-1.1671773,-0.72382892,-1.4053209,-0.37625162
incipient,19800170,0.20072859,1.0012022,-0.62199992,0.95063516,-0.29090971,-0.7586821,0.11582432,0.6038772
incipient,19800184,-1.3396335,-0.35437371,-0.5958873,-0.34017418,1.1471605,0.010340786,-0.34051716,0.42449667
incipient,19800192,-0.39831237,0.4717616,-0.99821416,0.9467795,-0.5261064,-0.83695481,0.088196092,-1.2073606
incipient,19800204,-0.64104553,0.8166618,0.52825636,-0.81945554,-0.19564025,-0.11037333,-0.35605481,-0.4184147
incipient,19800213,-2.1262174,-2.6710024,-2.5652045,0.10510873,1.8826032,1.8852826,-0.38962174,0.60730786
incipient,19800221,-1.0303093,-0.4052536,1.0924662,0.68224992,-0.307641,0.38859583,0.0053565502,0.079318721
incipient,19800232,-0.86176866,-0.23520515,0.61732722,0.37373146,-0.44628818,0.078387954,-0.38038906,-0.27272606
incipient,19800237,2.424278,-0.87665137,-3.0456423,-1.8584186,2.4528349,-3.8964736,-1.4785371,-3.3124601
incipient,19800256,0.28786598,-0.54761184,0.10928678,-0.16923889,0.4161882,-0.47794687,1.1930236,1.0359013
incipient,19800263,-0.60332434,0.50655477,0.74842243,-0.70017723,-0.16151088,-0.51583835,0.10084411,0.16489264
incipient,19800291,0.99426522,1.7373828,-0.35196543,-0.58296783,2.0457234,1.7974178,-0.62130425,1.9304592
incipient,19800296,-0.23325103,-0.55017233,0.25999234,0.8368943,0.45217797,0.32679283,-1.2866471,-1.1793394
incipient,19800300,0.035513425,0.68204966,-0.4853761,-0.83260616,-0.93703636,-0.97305805,0.2545478,-0.57710187
incipient,19800318,0.76033801,0.88231243,0.067046087,1.0431298,-0.79233045,-1.0906693,0.93725755,-0.99402422
incipient,19800361,-1.4031233,-0.35722962,0.44661563,-1.0556877,0.29267607,0.42163546,-0.80840204,0.92426753
incipient,19800370,-0.16003943,0.4682909,0.72468536,-0.70572913,0.60944658,-0.87684505,0.088138759,-0.70367952
incipient,19800401,0.19975786,0.23772309,0.28753018,-1.6168455,-0.67672152,0.57377959,-0.14465066,-0.25422007
incipient,19800411,0.10763702,1.1518804,-1.3098757,0.55438657,-0.73292016,0.58197402,-0.68939307,0.64983627
incipient,19800418,0.17371554,1.1978924,-0.066959576,0.88869935,-0.26669853,-0.68550345,-1.0646094,-0.10891183
incipient,19800423,-3.0809123,-0.35437252,-1.4014243,0.12040207,2.7142224,0.85659484,0.7255237,-2.8297343
incipient,19800440,-0.20668397,-1.0572667,-2.5268346,-0.36951111,1.9007499,1.120176,-0.0055214167,-0.028667676
incipient,19800448,-0.27414667,0.88410987,-0.48065415,0.87029919,-1.3554877,-0.42357345,0.09781779,-0.08808647
incipient,19800455,0.84430209,0.15650461,-0.064123173,-1.0507688,0.84667726,-0.44529796,0.043112236,-0.53666757
incipient,19800464,0.30788225,0.29886946,1.1095551,-0.4203795,0.76354978,-0.85330891,0.75718577,0.50473842
incipient,19800550,-1.1253471,-1.4239913,-2.0874868,-0.58155284,0.091055497,0.45704294,0.66345504,-0.56050093
incipient,19800580,1.1022575,0.28146383,0.79704597,1.7111173,2.6920916,0.27689911,-1.562805,0.64997466
incipient,19800590,-0.12164766,1.4288074,-0.078322632,0.84642792,0.54510677,-0.67078279,0.2857854,0.83543354
incipient,19800610,0.20334651,-0.25941191,0.14409468,0.92024274,-0.85053731,-0.48174904,-0.29067613,0.43833082
incipient,19800614,0.885107,-0.76722955,0.89126297,2.3830196,0.83149279,-0.7797144,0.13005406,-0.22516955
incipient,19800621,2.1326265,-0.70248177,1.7767316,2.8616721,0.47562727,0.4805446,0.45608831,-0.055092733
incipient,19800636,-0.58707575,-0.6205537,0.040378899,-0.73876617,0.16496606,-0.27107932,-0.83827117,-0.67239757
incipient,19800640,-0.87861166,-0.96059438,0.33816381,-0.96615507,-0.56434725,-2.0225951,-1.1462588,-0.19262597
incipient,19800646,-0.80479887,0.18464553,0.20689075,1.0818469,0.087209336,0.590398,-0.32931566,-0.25798455
incipient,19800657,1.7259749,-1.4286103,0.022961934,-2.4193326,0.87203782,1.8286981,2.4718464,0.094737646
incipient,19800683,-0.074078045,0.025420351,-0.52285033,-0.70897926,0.30328952,0.96162525,-0.62664154,-0.96417414
incipient,19800695,0.46274315,0.40648252,-0.021237336,-0.23079919,1.4231523,0.43460095,0.70351546,-0.13990543
incipient,19800703,0.31151263,0.26204046,0.73502557,-0.015525811,0.32354564,-0.37290983,-0.015143982,-0.085925644
incipient,19800725,0.3188756,0.37781791,-0.022584143,1.4272805,-0.52993878,-0.68197673,0.29351104,0.76731935
incipient,19800738,-0.51713547,0.56697339,0.44905251,0.45520099,0.077009615,0.11357036,-0.9095793,-0.00069009589
incipient,19800740,-0.20566546,-1.2936266,-0.4226234,0.21046095,-0.087570778,0.46425771,0.97925287,0.2292163
incipient,19800759,0.089145205,0.867098,-0.68134726,0.92727225,-0.59261296,0.66146612,-0.26579513,0.53848943
incipient,19800805,-0.96337632,-1.0739455,1.0749741,0.44890401,-1.087207,-0.050350946,-0.098290695,-0.18425381
incipient,19800811,-0.80266142,-0.76363393,0.81538057,0.41142305,-0.51401333,-0.086233291,0.047668244,-0.044244319
incipient,19800829,0.33096575,0.78498241,0.031474818,0.74044751,-0.79823663,-1.0101822,0.39065739,1.0152945
incipient,19800870,0.42423144,-2.230386,-0.42542816,-0.80179527,-1.319985,1.2779273,0.31565575,-1.3976992
incipient,19800887,2.2603976,1.5228673,-1.8712791,1.0805575,-0.79061417,1.2912273,-0.98165563,0.61544718
incipient,19800898,-0.66489788,0.56889239,0.10196902,-0.14905631,0.20223867,-0.39987426,-0.22389186,1.2374449
incipient,19800918,-0.36945075,0.42759157,0.97247075,0.091479439,1.2578695,0.22644178,-0.60911023,0.57050577
incipient,19800936,-0.67724085,0.78823316,0.82578399,-0.56220048,0.60375354,0.0010065419,-0.6382171,0.23975792
incipient,19800948,0.56835233,-0.74951849,0.36354996,1.4974736,-1.2458964,0.90895999,0.49312411,-0.21927145
incipient,19800961,-0.55289435,0.51441996,1.0045275,0.33475593,1.0114659,-0.3315392,-0.25448409,0.40008366
incipient,19800993,1.0891691,-0.84900169,0.33291842,1.0603398,0.39464633,0.66934512,-0.010057977,-0.21845688
incipient,19800999,-0.78364629,0.94636537,0.79370504,-0.62065269,0.71498483,0.31913356,-0.93968907,0.6051161
incipient,19801009,-0.8617904,-0.32030288,-0.38104694,-0.87464534,0.81233967,0.040008032,-2.3091705,0.22330227
incipient,19801016,-0.6202051,1.0974703,0.51557818,-0.53493249,0.14591871,-0.19821,-0.52449697,0.04851845
incipient,19801032,-0.10813348,0.70824448,0.44295448,-1.4571069,-0.17102105,1.062229,-0.036879829,-0.90404156
incipient,19801046,-0.094663109,-0.23314541,0.67026443,0.84621721,-0.0028682206,-0.19781436,1.1241024,0.27074949
incipient,19801052,0.56160843,0.13933714,1.0399382,-1.1001416,-0.73997613,0.48793241,-0.66545541,-1.4886581
incipient,19801067,-0.6343997,0.89425025,0.69946607,-1.1058279,0.29951014,0.036545627,0.46881446,-0.29598768
incipient,19801082,-0.25569386,0.86748057,-0.29995018,0.6380412,0.28788797,0.023624562,-0.15449656,0.0090937708
incipient,19801085,-0.56452314,0.5092315,0.11996799,0.83493536,-0.060640835,-0.13836719,-0.049953935,0.34894869
incipient,19801101,-0.56622068,-1.6031953,1.6799553,-1.3149632,0.57983182,1.1565417,-0.1169023,1.058971
incipient,19801105,-0.19670382,0.88667055,0.91475429,0.15568528,1.983341,-1.4384002,1.2643351,-1.8436965
incipient,19801135,-0.77402756,0.82924588,0.64917488,-0.79814423,-0.083537573,-0.34876427,-0.11126046,0.025428862
incipient,19810002,-0.3844725,1.2297112,-0.33174714,-0.46858543,-1.2657573,-0.28214655,1.3876802,-0.14236777
incipient,19810014,0.50773867,1.1927188,0.2286233,-0.82482906,0.33541197,1.2657497,0.44506042,0.037052269
incipient,19810023,-0.48145732,-0.17779383,0.70036946,0.092470266,-0.1554623,-0.0037448802,-0.84911543,-0.48664844
incipient,19810063,-0.27225898,0.19760467,0.63184516,-0.91524942,-0.50353631,-0.52773886,-1.0764819,-0.6119778
incipient,19810093,-0.2952587,1.0413971,0.66646255,-0.81213307,0.66574718,0.10786723,-0.18421255,0.45781425
incipient,19810096,0.64841585,-0.61167537,0.99856709,0.6114341,0.73834466,-0.60231549,0.59400786,1.2621306
incipient,19810109,-0.76300281,0.69383278,0.69173955,-0.45384032,-0.073587114,-0.50306673,-0.81760627,-0.29547801
incipient,19810133,0.40242899,1.0090309,-0.33280382,-0.57615239,-0.24508288,-0.36709953,-0.024361264,0.073676323
incipient,19810142,-0.8848545,0.30545901,0.059390984,-0.1115655,-0.58617401,-0.85738896,-0.13336031,-0.054685338
incipient,19810160,-1.0279783,-0.4569472,0.36472086,1.3791104,-1.1827146,-0.44461939,0.29267569,-0.21547796
incipient,19810169,-0.48841512,0.40349846,0.34908858,-0.27849679,-0.47641122,0.20197044,-0.631676,-0.28273793
incipient,19810179,-0.18046307,-1.115003,-2.5259728,-0.06107394,2.3133367,0.37341171,0.75081309,-0.53007644
incipient,19810196,0.25111218,-2.9037895,-0.84914872,-1.0871789,1.7147099,0.26245368,1.6479674,1.1548788
incipient,19810219,-0.29053357,0.40678558,0.31524867,0.21293696,-0.91268202,-0.52293396,0.039375269,-0.080342891
incipient,19810227,0.6602556,1.1552606,-0.29417229,-0.25862668,-0.45041589,0.89473861,-0.19047204,-0.60553517
incipient,19810241,-0.73893913,1.0406818,-0.011523021,-0.56853576,-0.40893736,-0.091019979,-0.34403363,0.82324315
incipient,19810260,-0.23097446,0.16335614,0.3008212,0.72398193,-0.60810089,-0.533004,0.11953542,-0.13894012
incipient,19810279,-0.65573188,0.34278542,0.27828565,-0.27581351,-0.25988984,-0.37197553,-0.29886774,-0.091863241
incipient,19810292,-0.73658413,0.24533019,0.10519604,-0.71375656,-0.11046524,-0.10740403,-0.80369747,-0.55866434
incipient,19810300,-1.1891746,0.73986237,0.064627303,-0.56912795,1.0618146,-0.5460203,-0.20397364,-0.09696862
incipient,19810303,0.14946175,0.6290876,0.2852509,0.2409453,0.54073113,-0.27828927,-0.56344847,-0.80610365
incipient,19810315,-0.43873647,0.78990728,0.30333907,0.35599184,1.8754184,-1.3519941,0.31357083,0.48962445
incipient,19810332,-0.48481351,0.68630541,0.18283483,-0.88409697,-0.41845135,-0.19534071,-0.438648,0.19416843
incipient,19810349,-0.17103253,1.222124,0.24067078,-1.0045383,0.36370617,0.098874702,0.22537055,0.97620409
incipient,19810367,-0.89894993,0.28537659,0.49453723,-0.52888941,-0.37136672,-0.62387007,0.090480368,0.41055519
incipient,19810370,1.3614625,-1.1369666,0.7598408,-1.0988596,-0.46120289,-2.3447909,0.36051274,2.3324868
incipient,19810388,0.28523048,-0.50709551,-2.8740666,-1.2404498,0.54756285,1.5703254,2.2683479,-0.17255155
incipient,19810394,0.20669369,1.5249902,-0.96981699,1.0529769,0.15344838,-0.87001618,-0.1340391,0.45750922
incipient,19810409,-0.404665,0.35027317,1.3219687,2.4224048,3.7541475,2.3458741,-3.0193488,0.86666386
incipient,19810414,-0.59682292,-1.5276996,-0.48203153,-0.53438616,1.1515977,-0.26324186,-0.55999915,0.19840388
incipient,19810417,0.092161842,-0.83842543,-0.46204056,-0.43822417,-1.6548466,-0.42133609,-0.37547645,-1.4053608
incipient,19810450,-0.74834454,0.51605408,0.4367048,-0.46613986,-0.077523781,-0.3245587,0.18704197,-0.57740308
incipient,19810462,-0.15693838,-0.22280854,-0.12433541,-0.7105458,-0.029011458,0.8427135,-0.062907591,-0.6429786
incipient,19810473,1.9315799,0.19511688,0.40022841,-0.38164763,-1.3079507,1.0138692,-0.23921689,-0.35790388
incipient,19810475,-1.2411775,1.0266585,-0.69622598,-0.099719956,-1.0545254,-0.1077463,0.85056232,-1.069246
incipient,19810519,-0.67830042,0.087359378,0.56460141,-0.52721328,-0.034090603,-0.56144252,-0.2983615,0.17833302
incipient,19810554,0.60634461,0.52455203,-1.7692736,0.22031292,0.24976981,0.78967124,-0.52275826,1.6122761
incipient,19810568,0.13224971,-0.29985703,0.29282191,0.25057825,-0.39880852,0.35032293,-0.085594102,0.15598116
incipient,19810586,1.3789557,-0.17905699,0.61655007,0.13532052,-0.43618894,0.63161382,0.23669974,-0.48308934
incipient,19810597,-1.5442337,-0.53761355,-2.8231222,0.76548483,1.5619673,-0.22689868,1.7128367,0.21337991
incipient,19810602,0.77091254,-0.8676226,1.2349492,-0.22578062,3.7934662,0.36560154,-1.1158518,3.2010545
incipient,19810609,0.52638165,-0.61830719,1.0440494,0.96494496,-0.98354749,0.044572781,0.18961448,-0.49118879
incipient,19810618,-0.66149898,-0.77172362,-0.066345655,-0.33809683,-1.4628923,-0.10322995,-0.11948431,-0.23689195
incipient,19810626,1.215908,0.49947487,0.7672625,0.32128281,2.3694714,-1.1684128,0.81338665,-3.4475842
incipient,19810650,-1.1197495,-0.55795363,-2.3907388,-0.03087331,-0.1348506,1.2119622,-0.42995857,-2.0547911
incipient,19810659,-0.58801314,0.34161423,0.093845001,-0.36372013,-0.39348794,-0.27281376,-0.38161647,-0.64640271
incipient,19810666,-1.0460682,0.24604406,-0.45981704,-0.044068493,0.56946313,0.027339115,-0.10549276,0.20224536
incipient,19810667,0.12122146,0.23024459,0.59977404,-0.93397133,-0.70713229,-0.29369465,-0.40633068,0.040646776
incipient,19810712,-1.2611067,-0.09014195,-0.51330584,-0.25372816,0.90871888,-0.21333744,0.22370691,-0.61327284
incipient,19810721,-1.2973293,-1.2686231,0.29708746,-0.49722194,-0.42500246,-0.98050165,-0.4345635,0.14997613
incipient,19810733,-0.19742053,0.68333796,-3.8666572,2.1418226,1.8432915,-0.39036183,-2.462965,1.1995232
incipient,19810742,0.49319107,-1.2530875,-0.44229942,0.064695282,-0.76364943,-0.84198388,0.041884644,0.20492747
incipient,19810782,-0.96586505,0.11688897,-0.25387065,-0.78897884,-0.83916223,-0.97038654,-0.76533031,0.27123951
incipient,19810790,-1.3628593,-2.0758728,-3.9481542,1.3321841,1.906218,-1.6736067,-1.5639718,1.197216
incipient,19810825,-0.76953932,-0.70330858,-0.18616764,-0.45876263,-2.0083673,-1.6667839,1.4969826,-0.04554818
incipient,19810854,-0.33640761,0.34842003,0.22903025,1.1072989,0.19986203,0.12532038,-0.3436862,0.42371349
incipient,19810858,-0.82284431,0.83039424,0.60805809,-0.75513779,0.5247243,-0.36240329,-0.38814062,0.27184126
incipient,19810863,2.6888476,-0.17213656,-0.16245869,0.34123842,1.2726213,1.1598612,1.1355651,-1.0720334
incipient,19810871,-0.43988327,0.11028639,0.22473925,1.1609227,-1.077822,0.16744699,-0.29686944,-0.32377865
incipient,19810877,0.062947004,0.52299105,0.050470352,1.7969396,-0.34919154,-0.00048126356,-0.20857989,1.1074542
