scope,track_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
incipient,19790001,2.361644,0.95596408,-0.0038020336,-0.61258662,-1.1223697,1.0369427,0.76958403,0.36033413
incipient,19790026,0.56294711,-0.38430059,0.22601112,-0.45479382,-0.85599307,-0.10490632,-0.2325107,-0.12857865
incipient,19790048,-0.46964707,-0.032055928,0.89196872,0.62284043,2.0892706,2.0147139,2.6672453,1.7409009
incipient,19790063,-0.36298552,0.84259001,0.2520786,-0.52336533,0.27417687,0.23661586,-0.60441737,0.12144071
incipient,19790079,-0.91706669,-0.88759987,0.17343803,-0.47919649,-1.0794608,-0.87421328,2.1396953,0.68314726
incipient,19790087,-0.72173697,-0.18111209,0.35557929,1.0574679,-1.1131616,-0.030817436,-0.28386711,-0.18443279
incipient,19790094,-0.33189221,0.40381149,0.339966,1.2458412,-0.45668461,0.084539312,-0.6083208,0.33943139
incipient,19790097,-0.52523165,0.58580774,-0.1079294,-0.89498597,0.67343832,0.13486292,0.30233156,0.060945032
incipient,19790101,1.062258,0.090304039,0.34665856,-0.59027567,0.92113691,-1.4894745,1.0474523,-1.005914
incipient,19790119,0.33072712,-0.69744511,0.40776328,-0.59076786,-0.011710433,-0.75138547,-0.56970442,0.45577022
incipient,19790135,0.50224072,0.467864,0.49006304,-1.1317222,-0.54227687,0.11357788,0.2199004,-0.9550871
incipient,19790140,-0.4442665,-1.3253518,0.48312754,0.494528,-0.17201445,0.19727088,-0.50697296,0.89446308
incipient,19790144,0.37203804,-0.038648132,0.425098,0.51170623,0.10147217,-0.38491569,0.18301145,0.45994729
incipient,19790166,0.021489235,0.50045138,0.44381086,-1.0821436,-0.55899999,1.0417457,-0.34418209,-0.97397227
incipient,19790168,-0.7616214,0.62816316,0.67186125,-0.89504947,0.79170041,-0.79142428,0.37493103,-0.64253229
incipient,19790178,0.24076148,0.34155704,0.92794505,-0.65033993,-1.2220066,0.10940001,-0.17417897,-1.4023826
incipient,19790194,-0.42269779,1.0222433,0.17355266,-0.5051851,-0.16723926,-0.86576632,0.64910161,-0.035156543
incipient,19790205,0.43422962,0.41313542,0.64120355,0.8939962,0.85971564,1.0035539,-0.42713038,0.020688692
incipient,19790213,-0.24732824,0.48566714,0.49092769,-0.92404217,-0.68271826,-0.23314361,-0.069114201,-0.37790733
incipient,19790236,-0.6673339,-2.2281081,-0.78642345,-0.4420166,0.61753872,-0.87045734,-0.12327258,0.39343863
incipient,19790237,-0.24153349,-0.53045663,1.5191257,0.0017537608,-0.38117933,-0.05039874,-0.83860492,-0.49458311
incipient,19790256,0.0040721555,0.68613317,-0.29476854,0.020413397,-0.6068398,-0.14766216,-0.24832386,-0.48242913
incipient,19790273,-0.31412553,0.50816793,-0.36729816,-0.075456026,-0.40475743,-1.019002,0.88493192,0.54786067
incipient,19790300,-0.33809144,0.64652125,0.82172837,-1.0481918,-0.35295025,-0.14739674,-0.085155666,-0.39893974
incipient,19790304,-0.46834162,0.10550943,0.25828825,0.32201709,-0.6997724,-0.65034591,-0.55663819,-0.51313728
incipient,19790322,-0.90994437,0.36343431,0.21720148,-0.45262359,-0.26466432,-0.19620698,-0.32706666,-0.1350574
incipient,19790339,-0.91288749,-0.88617439,1.0551628,-0.48912721,-0.35655945,0.14804928,-0.80987664,-0.61591355
incipient,19790369,-0.48631234,1.2931232,0.11840263,-0.53941742,0.090153322,-0.29237829,-0.15634345,0.45143693
incipient,19790385,-0.68094593,0.43054544,-0.15606714,-0.97241565,0.11132327,-0.93617296,0.23094891,0.62178505
incipient,19790391,0.55662194,0.39789382,0.42749108,-0.17423031,-0.40168632,-0.15899525,0.10058187,0.10191092
incipient,19790394,-2.4442393,-0.57123666,-1.2447918,-0.33891245,1.7698375,0.26850486,-0.27320313,-0.5039218
incipient,19790406,-1.0305045,-0.79589209,-0.73054151,-0.58387145,-1.1994862,-0.32745185,1.4687537,2.0361692
incipient,19790414,3.0629486,1.5212058,0.22795354,0.85220276,1.0725988,1.3989066,0.13427837,0.19674642
incipient,19790455,-0.44982544,0.21270891,-0.72270889,2.3079454,0.51733897,1.1142202,-0.83661132,0.45647684
incipient,19790473,0.32180447,0.3868263,0.057159864,0.94745462,-1.1812092,0.092850518,-0.48101578,-0.73025864
incipient,19790483,0.56042822,0.91383925,-0.076108195,0.71327825,-0.26740452,-0.18967714,0.031977204,-0.26800062
incipient,19790497,-0.49286373,0.76606231,-0.077201404,-0.37441517,-0.53526057,-0.55885852,-0.061348452,-0.083695541
incipient,19790535,1.9463915,0.12791398,-2.6446179,-1.4014568,-0.09521879,0.6850648,-0.60086066,-1.4041648
incipient,19790550,-0.383387,-1.6904648,1.7589662,-0.55616162,0.44591283,1.5104661,0.71671926,-1.5391336
incipient,19790561,-0.57451244,0.51272155,0.20940706,-0.016274743,-0.51526851,-0.44596939,-0.31721729,-0.11799465
incipient,19790585,0.40111539,1.4101484,-0.18972589,0.077216596,-0.11923641,-0.045887906,0.31046706,0.51741189
incipient,19790594,0.12961461,0.88197312,0.34781868,0.74707072,0.32095632,-0.2817811,-0.64728529,0.16497903
incipient,19790613,1.5853195,-0.1660296,0.92781462,-0.674686,1.0444468,-1.7948615,0.70451965,-0.029170186
incipient,19790618,0.46429305,0.014538751,-0.20032024,0.17365032,0.43030753,-0.09047028,0.40512433,-0.13518795
incipient,19790637,-0.92656069,-0.46343183,0.90699329,0.067115398,-0.3124373,-0.4508834,0.072926478,-0.19304816
incipient,19790644,0.63644895,0.64890578,0.18781854,-0.56532307,0.30274007,1.1276141,-0.43032547,-0.045636737
incipient,19790664,-0.87259701,-1.0854955,0.22693896,-0.33344201,0.22925141,1.041012,0.96515955,0.26583883
incipient,19790669,1.1512347,-0.77330048,-3.1200997,-0.54172038,-2.3937858,-1.2116861,1.045161,-0.67706695
incipient,19790689,-0.24900601,0.22420164,-0.39738958,-0.32489897,-1.1575112,-0.75884021,-0.1358427,0.070051965
incipient,19790690,0.73979145,0.55817848,-0.31412007,0.47202527,-0.85544217,0.1081383,0.33830847,0.55724132
incipient,19790691,-0.96811985,-1.1901773,0.56766346,1.3063484,-1.3849795,-0.84432818,0.56553773,-0.41565125
incipient,19790697,-0.042714908,1.1608916,0.33485609,0.29445595,0.48395501,-0.13646401,-0.38326234,0.81439324
incipient,19790752,-0.91880796,0.002421034,0.31750594,-0.10421248,-0.57225506,-0.078013618,0.019151246,-0.63052841
incipient,19790770,-0.49170052,-1.4157347,1.1283838,1.59694,-0.90988954,-0.14984706,0.34047178,0.18420223
incipient,19790802,0.2521851,0.13013778,-4.2886599,-0.2368216,-1.5086974,0.46008642,2.7521156,-1.1364474
incipient,19790820,1.6009806,-1.0822452,1.496867,-1.9589053,0.62207047,2.5808935,0.98668596,-0.26733478
