cluster,n,max_vor42_mean,max_vor42_median,season_DJF_pct,season_MAM_pct,season_JJA_pct,season_SON_pct,region_ARG_pct,region_LA-PLATA_pct,region_SE-BR_pct
1,745,9.8217505,9.60144,26.442953,22.818792,25.100671,25.637584,60,22.281879,17.718121
2,421,10.83746,10.61151,23.04038,22.565321,25.653207,28.741093,49.643705,33.254157,17.102138
3,193,10.142127,9.86307,17.61658,19.689119,38.860104,23.834197,43.523316,39.896373,16.580311
4,127,11.039659,11.01301,14.96063,32.283465,29.133858,23.622047,40.944882,34.645669,24.409449
