track_id,version,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
19790001,before,-0.12333465,0.72432086,-0.10363463,-0.50475701,0.38927482,0.20356948,0.46265237,-1.1828017
19790026,before,-0.20789586,-0.39218138,-0.16646344,0.077257269,0.64237436,-0.86890042,-1.4749578,-0.21251081
19790048,before,0.57921941,-0.71310461,-0.3398447,-0.69194299,-1.0403884,0.66795724,1.5733452,-1.0653772
19790063,before,-1.0069187,-0.21486204,0.52619169,-0.64894571,-0.016952226,-0.2671219,-0.54695658,-0.47715872
19790079,before,-1.1599657,-0.68149073,-0.22389372,0.013608266,-0.70117066,-1.0112915,1.4776477,2.3609648
19790087,before,-0.49631325,-0.054928672,0.2263557,2.1104076,1.1125805,-0.57898004,0.5817114,-0.24958985
19790094,before,-0.54242628,-0.83896219,-0.2158018,-0.17926481,0.98079761,-0.17714128,-1.6023237,0.2753861
19790097,before,-0.076979176,0.60909147,0.0092798335,-0.88323427,0.37630031,-0.94964835,-0.14910873,-0.14269359
19790101,before,0.66966912,-0.2103572,0.140857,-0.4978315,-0.21869192,-1.2566593,0.023480564,0.23824138
19790119,before,-0.49950307,-0.59380199,-1.0132978,-0.29954851,-0.36909203,-0.56280959,-0.64181303,1.0827181
19790135,before,1.1804853,-0.27587175,0.075710507,-0.30291816,-1.6755913,-1.4920289,0.5805812,-0.67577718
19790140,before,-0.61834939,-1.2932693,-3.165791,0.49972608,0.74111702,1.2832688,0.59933108,-0.1745482
19790144,before,0.17107577,-0.26659845,-0.00648144,-0.0034827639,-0.85958111,-0.059760702,0.027971028,-1.0499292
19790166,before,1.5037528,-1.6139532,1.0932844,-0.23059806,-3.4235032,-0.62251301,1.2552565,-0.61647848
19790168,before,-1.2615217,-0.55037661,0.5024685,-0.94387639,-0.90148973,-0.56587496,-0.13488402,-0.69598134
19790178,before,0.046076127,-1.1760357,0.82168925,-0.41189056,0.84180866,0.567375,-0.19344641,-1.1239895
19790194,before,-0.35118421,-0.43016948,1.3343968,-0.82111755,0.3487232,-0.16404615,0.31512518,-0.36989184
19790205,before,1.0525415,-0.13940274,-0.010812527,0.9049272,-0.18390587,0.26645219,0.46090801,0.12647959
19790213,before,-0.07855184,-0.52570596,0.36703582,-0.74320322,-0.095090418,-0.30550904,-0.20215081,-0.70840076
19790236,before,-0.44008432,-0.41143176,-1.2580452,0.077868676,-0.89672402,-0.40860046,-0.020751711,0.51834956
