version,eof,term,loading
before,8,Ae,0.28449516
before,8,Kz,0.091728675
before,8,Ke,0.38676243
before,8,Cz,0.21994732
before,8,Ca,-0.036597896
before,8,Ck,0.025315746
before,8,Ce,-0.019957248
before,8,BAz,0.02685015
before,8,BAe,0.18897706
before,8,BKz,-0.11500788
before,8,BKe,0.34921053
before,8,BΦZ,-0.21320562
before,8,BΦE,-0.2957969
before,8,Gz,0.014848673
before,8,Ge,-0.21182052
before,8,∂Az/∂t (finite diff.),0.24132325
before,8,∂Ae/∂t (finite diff.),-0.34571502
before,8,∂Kz/∂t (finite diff.),0.050177517
before,8,∂Ke/∂t (finite diff.),0.24600474
before,8,RGz,0.22919865
before,8,RKz,0.071240765
before,8,RGe,-0.2535885
before,8,RKe,-0.18136727
after,1,Az,0.32104493
after,1,Ae,0.66359765
after,1,Kz,0.34656542
after,1,Ke,0.60474787
after,1,Cz,-0.1194051
after,1,Ca,0.90282162
after,1,Ck,-0.48813323
after,1,Ce,0.78629837
after,1,BAz,0.48661301
after,1,BAe,-0.27264345
after,1,BKz,-0.73252366
after,1,BKe,-0.10220312
after,1,BΦZ,0.80306721
after,1,BΦE,-0.7987889
after,1,Gz,-0.25258281
after,1,Ge,0.47948867
after,1,∂Az/∂t (finite diff.),0.027214899
after,1,∂Ae/∂t (finite diff.),-0.0092696837
after,1,∂Kz/∂t (finite diff.),0.31217585
after,1,∂Ke/∂t (finite diff.),0.14952072
after,1,RGz,0.070107086
after,1,RKz,0.80942179
after,1,RGe,0.17996366
after,1,RKe,-0.82389517
after,2,Az,0.43906985
after,2,Ae,0.28078134
after,2,Kz,0.63129964
after,2,Ke,-0.082891646
after,2,Cz,-0.49587536
after,2,Ca,0.061286607
after,2,Ck,0.10986902
after,2,Ce,0.11918224
after,2,BAz,-0.21896236
after,2,BAe,0.59457974
after,2,BKz,0.12969428
after,2,BKe,-0.02268461
after,2,BΦZ,0.011687389
after,2,BΦE,0.016624231
after,2,Gz,-0.47850511
after,2,Ge,-0.26488856
after,2,∂Az/∂t (finite diff.),-0.035492392
after,2,∂Ae/∂t (finite diff.),-0.44181327
after,2,∂Kz/∂t (finite diff.),-0.06672774
after,2,∂Ke/∂t (finite diff.),-0.26265404
after,2,RGz,-0.081891832
after,2,RKz,-0.0906432
after,2,RGe,-0.75788276
after,2,RKe,0.00814082
after,3,Az,0.20584288
after,3,Ae,-0.27745671
after,3,Kz,0.093454496
after,3,Ke,-0.44708639
after,3,Cz,0.27068406
after,3,Ca,-0.13747378
after,3,Ck,-0.25042375
after,3,Ce,-0.30891778
after,3,BAz,-0.1336731
after,3,BAe,0.011661181
after,3,BKz,-0.36919276
after,3,BKe,-0.47878343
after,3,BΦZ,0.42148026
after,3,BΦE,0.087649791
after,3,Gz,0.23502507
after,3,Ge,-0.22444464
after,3,∂Az/∂t (finite diff.),0.66179277
after,3,∂Ae/∂t (finite diff.),-0.016266034
after,3,∂Kz/∂t (finite diff.),0.54245579
after,3,∂Ke/∂t (finite diff.),-0.34299688
after,3,RGz,0.64199822
after,3,RKz,0.46928391
after,3,RGe,-0.26536241
after,3,RKe,0.28259909
after,4,Az,0.58040345
after,4,Ae,-0.24022743
after,4,Kz,0.41544965
after,4,Ke,-0.32470281
after,4,Cz,0.20827142
after,4,Ca,0.024036171
after,4,Ck,0.24900233
after,4,Ce,-0.031280565
after,4,BAz,0.60875015
after,4,BAe,-0.10397436
after,4,BKz,0.013374615
after,4,BKe,0.12681984
after,4,BΦZ,0.014371599
after,4,BΦE,0.16794263
after,4,Gz,-0.15120948
after,4,Ge,0.074444668
after,4,∂Az/∂t (finite diff.),0.058572423
after,4,∂Ae/∂t (finite diff.),0.37759541
after,4,∂Kz/∂t (finite diff.),0.26203528
after,4,∂Ke/∂t (finite diff.),-0.052830906
after,4,RGz,-0.56818298
after,4,RKz,-0.027323688
after,4,RGe,0.17868415
after,4,RKe,0.14628579
after,5,Az,-0.19682581
after,5,Ae,0.00076664367
after,5,Kz,-0.0048341759
after,5,Ke,0.0094184393
after,5,Cz,-0.26928538
after,5,Ca,-0.18210932
after,5,Ck,0.72086226
after,5,Ce,0.34405039
after,5,BAz,-0.27496362
after,5,BAe,0.4357558
after,5,BKz,-0.22602631
after,5,BKe,0.52079611
after,5,BΦZ,0.1664889
after,5,BΦE,0.22077671
after,5,Gz,0.1767995
after,5,Ge,0.54939627
after,5,∂Az/∂t (finite diff.),0.23625563
after,5,∂Ae/∂t (finite diff.),0.022362484
after,5,∂Kz/∂t (finite diff.),0.3721487
after,5,∂Ke/∂t (finite diff.),-0.15615345
after,5,RGz,0.11415115
after,5,RKz,0.14056919
after,5,RGe,0.24053436
after,5,RKe,0.033629168
after,6,Az,0.084103845
after,6,Ae,0.24418981
after,6,Kz,0.19280087
after,6,Ke,0.1220569
after,6,Cz,0.64787558
after,6,Ca,0.0024026427
after,6,Ck,0.055388974
after,6,Ce,0.16492282
after,6,BAz,0.24174717
after,6,BAe,0.35569661
after,6,BKz,-0.11193685
after,6,BKe,-0.068525503
after,6,BΦZ,-0.059593826
after,6,BΦE,0.20774383
after,6,Gz,0.57712206
after,6,Ge,0.14593985
after,6,∂Az/∂t (finite diff.),-0.19309716
after,6,∂Ae/∂t (finite diff.),-0.17484901
after,6,∂Kz/∂t (finite diff.),-0.2135729
after,6,∂Ke/∂t (finite diff.),0.13145097
