scope,eof,version,n,explained_variance_pct,matched_rank,pattern_correlation
incipient,1,before,3820,20.962349,1,1
incipient,1,after,3820,20.579724,1,0.86152315
incipient,2,before,3820,13.941481,2,1
incipient,2,after,3820,10.54816,3,0.75448405
incipient,3,before,3820,12.057953,3,1
incipient,3,after,3820,14.023895,2,0.92958943
incipient,4,before,3820,8.539348,4,1
incipient,4,after,3820,8.8649072,4,0.8044882
incipient,5,before,3820,6.7686077,5,1
incipient,5,after,3820,7.5381544,5,0.90839308
incipient,6,before,3820,6.4118105,6,1
incipient,6,after,3820,6.6004234,6,0.83538642
incipient,7,before,3820,4.9093546,7,1
incipient,7,after,3820,4.8460547,8,0.98139651
incipient,8,before,3820,4.7859605,8,1
incipient,8,after,3820,5.0444729,7,0.92790138
intensification,1,before,3820,30.128042,1,1
intensification,1,after,3820,27.549174,1,0.82980943
intensification,2,before,3820,13.267198,2,1
intensification,2,after,3820,9.4717749,4,0.61637131
intensification,3,before,3820,10.995821,3,1
intensification,3,after,3820,14.148976,2,0.70085405
intensification,4,before,3820,9.3953022,4,1
intensification,4,after,3820,10.547213,3,0.85886945
intensification,5,before,3820,6.2006257,5,1
intensification,5,after,3820,6.9993081,5,0.68179035
intensification,6,before,3820,5.7204022,6,1
intensification,6,after,3820,6.4794521,6,0.51020021
intensification,7,before,3820,4.6358348,7,1
intensification,7,after,3820,4.5452471,8,0.57002971
intensification,8,before,3820,4.0716551,8,1
intensification,8,after,3820,4.6355025,7,0.73095987
mature,1,before,3820,28.595908,1,1
mature,1,after,3820,26.30365,1,0.77199208
mature,2,before,3820,11.914402,2,1
mature,2,after,3820,11.802134,2,0.64439066
mature,3,before,3820,9.8415163,3,1
mature,3,after,3820,10.205477,3,0.56833269
mature,4,before,3820,8.7204575,4,1
mature,4,after,3820,9.3031244,4,0.76213388
mature,5,before,3820,7.6824532,5,1
mature,5,after,3820,8.6361969,5,0.6680669
mature,6,before,3820,5.9274639,6,1
mature,6,after,3820,6.1729546,6,0.87903239
mature,7,before,3820,5.0575345,7,1
mature,7,after,3820,5.5344027,7,0.92456134
mature,8,before,3820,3.9945463,8,1
mature,8,after,3820,3.8179982,8,0.22759994
decay,1,before,3820,31.225533,1,1
decay,1,after,3820,29.174583,1,0.80514808
decay,2,before,3820,10.170013,2,1
decay,2,after,3820,11.071529,2,0.93175787
decay,3,before,3820,9.4853707,3,1
decay,3,after,3820,8.0412861,4,0.69428136
decay,4,before,3820,8.1699177,4,1
decay,4,after,3820,9.0790988,3,0.72987754
decay,5,before,3820,6.2211251,5,1
decay,5,after,3820,6.1259375,6,0.64736506
decay,6,before,3820,5.718564,6,1
decay,6,after,3820,4.3723805,8,0.34614377
decay,7,before,3820,4.8705292,7,1
decay,7,after,3820,6.6439514,5,0.59018077
decay,8,before,3820,4.7323189,8,1
decay,8,after,3820,5.2663733,7,0.79037848
