phase,term,n,mean,std,median,q25,q75,version
incipient,Az,3820,676122.09,400935.73,608924.01,366896.01,900679.92,before
incipient,Ae,3820,177848.53,128259.15,138336.43,87417.608,229798.96,before
incipient,Kz,3820,2801754.2,1363396.5,2645381.8,1806400.1,3594614.5,before
incipient,Ke,3820,281692.78,165345.81,241646.46,171857.61,343733.5,before
incipient,Cz,3820,0.4816256,5.5441418,0.38712157,-2.4305433,3.4328445,before
incipient,Ca,3820,0.69435223,1.391594,0.3337831,-0.03615274,1.1109888,before
incipient,Ck,3820,-1.8174091,5.6617515,-0.94655658,-2.9867361,0.5293094,before
incipient,Ce,3820,3.7952834,4.7781481,2.5396811,0.81163688,5.7001617,before
incipient,BAz,3820,4.0996611,7.8900559,2.4756157,-0.51257468,7.6807199,before
incipient,BAe,3820,2.4091885,5.4946017,1.1045383,-0.3038056,4.1508373,before
incipient,BKz,3820,-6.2820019,33.087622,-5.6155113,-24.162827,9.6817349,before
incipient,BKe,3820,1.4660078,7.5854276,0.48605406,-1.8619317,3.829126,before
incipient,BΦZ,3820,55.047412,117.34533,47.760181,-8.4086781,119.29614,before
incipient,BΦE,3820,36.870667,127.13249,34.363588,-25.635153,111.36724,before
incipient,Gz,3820,-0.65712375,3.7032885,-0.5193618,-2.460124,1.1831874,before
incipient,Ge,3820,-0.69756917,4.0137485,-0.52068012,-2.0354272,0.89935892,before
incipient,∂Az/∂t (finite diff.),3820,0.57953131,5.9987969,0.37502545,-2.3225081,3.3501412,before
incipient,∂Ae/∂t (finite diff.),3820,0.017555715,2.8401196,0.025292356,-0.90209277,1.0565598,before
incipient,∂Kz/∂t (finite diff.),3820,3.6753756,14.485958,2.319309,-4.208637,10.980632,before
incipient,∂Ke/∂t (finite diff.),3820,1.2360714,3.2246499,0.7304317,-0.38766712,2.4239092,before
incipient,RGz,3820,-2.3441519,8.8280215,-1.1476807,-6.346617,2.5217173,before
incipient,RKz,3820,11.293161,39.397391,8.511095,-8.9057018,31.17854,before
incipient,RGe,3820,0.70929842,6.1207515,0.65592049,-1.3577042,3.1253284,before
incipient,RKe,3820,-5.8426289,9.2064901,-3.4597721,-8.8318761,-0.59261787,before
intensification,Az,3820,599704.97,337399.83,537474.62,341360.08,795555.08,before
intensification,Ae,3820,201973.19,131189.17,167336.38,103255.93,267353.89,before
intensification,Kz,3820,3015846,1498652.8,2809550.6,1913273.5,3907413.7,before
intensification,Ke,3820,413436,236244.55,357017.86,240595.24,532101.44,before
intensification,Cz,3820,-0.40464345,4.5258429,-0.20347155,-2.8526556,2.2895585,before
intensification,Ca,3820,1.4045246,1.6544512,0.97500761,0.26101886,2.1501197,before
intensification,Ck,3820,-4.1523515,7.4026239,-2.5736188,-6.9047937,-0.17340681,before
intensification,Ce,3820,6.2305826,5.5401539,5.0491084,2.249639,9.0571335,before
intensification,BAz,3820,3.8497947,6.6389938,2.6491058,-0.10041224,7.0116944,before
intensification,BAe,3820,1.1363769,4.1689788,0.55318527,-0.87836832,2.9461733,before
intensification,BKz,3820,-7.6050731,29.698626,-6.1502436,-23.302416,7.1382902,before
intensification,BKe,3820,2.5004807,7.817147,0.85089468,-1.5675629,5.1315398,before
intensification,BΦZ,3820,78.950678,117.60625,63.610319,4.3215354,146.5381,before
intensification,BΦE,3820,52.494577,117.92764,43.721646,-15.746445,119.67889,before
intensification,Gz,3820,-0.54469277,2.3238058,-0.41176999,-1.7955652,0.72331064,before
intensification,Ge,3820,2.7099165,3.1206821,1.8354573,0.5502348,4.032101,before
intensification,∂Az/∂t (finite diff.),3820,-1.5517639,3.5286375,-1.1257899,-3.3406264,0.3719349,before
intensification,∂Ae/∂t (finite diff.),3820,-0.048854238,1.4197487,0.022445924,-0.64368334,0.60795678,before
intensification,∂Kz/∂t (finite diff.),3820,0.29770816,10.692995,-0.015556201,-5.3708608,5.7254747,before
intensification,∂Ke/∂t (finite diff.),3820,1.4818777,2.4916863,1.0695804,0.014892673,2.6025777,before
intensification,RGz,3820,-4.4016775,6.9565241,-3.2490436,-8.0423378,0.25427786,before
intensification,RKz,3820,12.459776,38.257907,9.9069947,-7.7415575,33.101943,before
intensification,RGe,3820,3.6408268,5.0787734,2.7954233,0.42984317,6.2718726,before
intensification,RKe,3820,-11.401537,11.210521,-8.6315657,-16.388714,-3.2720277,before
mature,Az,3820,456679.42,326196.86,370205.26,228149.69,590363.14,before
mature,Ae,3820,164078.78,123264.61,125880.89,77581.528,209269.16,before
mature,Kz,3820,2879066,1583415,2603003.6,1696105.9,3743916.5,before
mature,Ke,3820,498793.86,338167.97,406407.94,249203.17,654979.62,before
mature,Cz,3820,-0.28252075,5.1652053,-0.040667779,-2.7738708,2.4730353,before
mature,Ca,3820,1.1773926,1.7534586,0.65335581,0.093871151,1.77849,before
mature,Ck,3820,-5.7081961,13.456913,-3.0036067,-10.486303,0.60919487,before
mature,Ce,3820,4.5502524,5.3212186,3.0794707,1.0638743,7.0213604,before
mature,BAz,3820,2.0458376,7.1715841,1.2688636,-1.4932097,4.883386,before
mature,BAe,3820,-0.57365006,4.3682961,-0.44913311,-2.365297,1.0130338,before
mature,BKz,3820,-7.0786932,31.177522,-4.8762007,-22.66427,8.0634098,before
mature,BKe,3820,0.042112793,9.9758836,-0.33060763,-3.892557,3.5159962,before
mature,BΦZ,3820,87.305062,140.83056,65.974975,0.25951705,165.08765,before
mature,BΦE,3820,57.937242,130.41114,43.020026,-17.630936,128.56327,before
mature,Gz,3820,-0.31412548,2.4414826,-0.16260412,-1.2996507,0.81374778,before
mature,Ge,3820,1.7453266,2.7975583,1.0326107,0.048455322,2.7437642,before
mature,∂Az/∂t (finite diff.),3820,-0.63900431,3.9452129,-0.57155589,-2.4002368,0.95687802,before
mature,∂Ae/∂t (finite diff.),3820,-0.98288535,2.0694107,-0.58863421,-1.9225743,0.14001247,before
mature,∂Kz/∂t (finite diff.),3820,-2.2209816,14.192853,-1.7547004,-9.3588602,5.3254747,before
mature,∂Ke/∂t (finite diff.),3820,-0.48169374,4.1394826,-0.39440058,-2.4377468,1.4421385,before
mature,RGz,3820,-1.78997,6.5912916,-0.83742471,-4.1949487,1.4182906,before
mature,RKz,3820,10.848429,43.00461,7.4601111,-11.367358,33.559591,before
mature,RGe,3820,2.9636244,5.1414018,1.899244,0.06197349,5.3484125,before
mature,RKe,3820,-10.782255,13.288088,-7.3068748,-16.572422,-1.8748031,before
decay,Az,3820,468242.92,351779.89,370172.74,216483.09,608796.85,before
decay,Ae,3820,124322.28,94317.797,95159.882,63580.93,151855.61,before
decay,Kz,3820,2796008.9,1547143.3,2494678.8,1640684.4,3641392.1,before
decay,Ke,3820,378630.32,274462.69,296291.61,197041.58,469724.53,before
