phase,term,n,mean,std,median,q25,q75,version
decay,Cz,3820,0.7604729,3.9217821,0.45379996,-1.1952329,2.4874095,before
decay,Ca,3820,0.68280371,1.463113,0.25954918,-0.035675433,0.95677629,before
decay,Ck,3820,-4.0000721,10.892813,-1.9718164,-7.1244079,0.73754461,before
decay,Ce,3820,1.978313,3.6161876,0.99836253,0.096975356,2.9581263,before
decay,BAz,3820,2.6862942,7.0271127,1.2399683,-0.95625605,5.0676369,before
decay,BAe,3820,-0.15390218,3.3841255,-0.040455452,-1.2298302,1.060633,before
decay,BKz,3820,-8.0534221,30.113931,-4.6388648,-21.632325,6.8169129,before
decay,BKe,3820,-1.3619452,8.7852546,-0.4434696,-4.0076668,2.0953189,before
decay,BΦZ,3820,54.780911,133.47953,38.696465,-20.567335,122.74983,before
decay,BΦE,3820,27.210502,123.14485,18.042979,-38.995872,92.292334,before
decay,Gz,3820,-0.15287041,1.835146,-0.056736334,-0.81355373,0.54941138,before
decay,Ge,3820,0.80533672,2.0194438,0.25601672,-0.1410775,1.0842737,before
decay,∂Az/∂t (finite diff.),3820,0.68940698,3.1785533,0.31218224,-0.71374009,1.8282585,before
decay,∂Ae/∂t (finite diff.),3820,-0.076639666,1.1562221,-0.062410809,-0.44044556,0.33802275,before
decay,∂Kz/∂t (finite diff.),3820,1.9325505,12.008563,0.70011978,-4.3924403,7.7258234,before
decay,∂Ke/∂t (finite diff.),3820,-0.85162094,2.6994549,-0.66106012,-1.9810549,0.30064916,before
decay,RGz,3820,-0.55361064,5.7942124,-0.077378249,-2.2934771,1.7746402,before
decay,RKz,3820,13.225572,40.008002,7.3443447,-8.0006674,31.760208,before
decay,RGe,3820,1.3727718,4.1535683,0.52534812,-0.58176174,2.5755556,before
decay,RKe,3820,-5.4680608,9.325636,-3.3584338,-8.3808114,-0.43059112,before
incipient,Az,3820,676116.67,400935.85,608923.58,366896.76,900680.36,after
incipient,Ae,3820,177849.36,128259,138336.54,87417.642,229799.23,after
incipient,Kz,3820,2801745.1,1363390,2645386,1806402.8,3594621.1,after
incipient,Ke,3820,281693.73,165345.99,241646.73,171857.84,343734,after
incipient,Cz,3820,0.48335059,5.5449456,0.39351592,-2.4306262,3.4349185,after
incipient,Ca,3820,1.9223657,3.8958292,0.87674501,-0.1602162,3.1458776,after
incipient,Ck,3820,0.33314248,5.1574975,0.530387,-0.84153586,2.2223385,after
incipient,Ce,3820,3.7953615,4.778065,2.5397583,0.8116535,5.7001634,after
incipient,BAz,3820,4.0967928,7.8895364,2.4707996,-0.51282859,7.6742762,after
incipient,BAe,3820,2.4090677,5.4946535,1.1045736,-0.30377318,4.1507945,after
incipient,BKz,3820,-6.2624609,33.050274,-5.6155362,-24.16277,9.6817867,after
incipient,BKe,3820,1.4657557,7.5851657,0.48606256,-1.8619354,3.829136,after
incipient,BΦZ,3820,8.8602724,27.094424,6.9555553,-5.3977396,23.075148,after
incipient,BΦE,3820,-1.0215484,4.5516954,-0.50260338,-3.0499439,1.3458924,after
incipient,Gz,3820,-0.65770711,3.7030887,-0.52030389,-2.4602135,1.181263,after
incipient,Ge,3820,-0.69794834,4.0137674,-0.52130028,-2.0353991,0.89931078,after
incipient,∂Az/∂t (finite diff.),3820,0.5784271,5.9963945,0.37505528,-2.3230128,3.3502632,after
incipient,∂Ae/∂t (finite diff.),3820,0.01760825,2.8400965,0.025283151,-0.90208096,1.0565252,after
incipient,∂Kz/∂t (finite diff.),3820,3.674413,14.485097,2.3193914,-4.2087187,10.980545,after
incipient,∂Ke/∂t (finite diff.),3820,1.2365459,3.2246979,0.73344,-0.38766842,2.4246887,after
incipient,RGz,3820,-1.1126494,8.0212062,-0.37469683,-4.5928579,2.9875016,after
incipient,RKz,3820,9.1203808,38.59047,6.9294652,-10.522925,28.949115,after
incipient,RGe,3820,-0.51846369,5.2065841,0.10216205,-1.791134,1.760354,after
incipient,RKe,3820,-3.6914289,7.8198986,-1.9695646,-6.2706423,0.43717457,after
intensification,Az,3820,599800.88,337347.65,538055.28,341485.14,795554.68,after
intensification,Ae,3820,201985.81,131175.01,167336.36,103256.05,267354.18,after
intensification,Kz,3820,3015849.3,1498654.5,2809555.1,1913276.5,3907419.4,after
intensification,Ke,3820,413438.96,236244.5,357018.44,240595.63,532102.13,after
intensification,Cz,3820,-0.4040167,4.5260925,-0.2035126,-2.8525888,2.2937015,after
intensification,Ca,3820,4.1241086,4.8136969,2.8692006,0.69415991,6.4667367,after
intensification,Ck,3820,-0.29929937,6.4040161,0.12136345,-2.3772485,2.3997513,after
intensification,Ce,3820,6.2309002,5.5398824,5.0491183,2.2496475,9.0571421,after
intensification,BAz,3820,3.8482456,6.6389419,2.6422702,-0.10059447,7.0103754,after
intensification,BAe,3820,1.1355805,4.169623,0.55319248,-0.87968501,2.9461896,after
intensification,BKz,3820,-7.5842376,29.660522,-6.1502653,-23.2606,7.1383611,after
intensification,BKe,3820,2.5002049,7.8170262,0.8508739,-1.5675697,5.1184776,after
intensification,BΦZ,3820,8.4610893,23.976213,6.4656236,-4.736949,21.350788,after
intensification,BΦE,3820,-2.6051378,4.5174575,-1.879035,-4.92946,0.31660829,after
intensification,Gz,3820,-0.54284725,2.3221595,-0.41141345,-1.7906994,0.72810022,after
intensification,Ge,3820,2.7099791,3.1206069,1.8355489,0.55021894,4.0321176,after
intensification,∂Az/∂t (finite diff.),3820,-1.5496376,3.5275887,-1.1233479,-3.3360699,0.37351483,after
intensification,∂Ae/∂t (finite diff.),3820,-0.048564605,1.4197924,0.023122705,-0.64368169,0.60827546,after
intensification,∂Kz/∂t (finite diff.),3820,0.29792256,10.692986,-0.015555702,-5.3708699,5.7254813,after
intensification,∂Ke/∂t (finite diff.),3820,1.481742,2.491753,1.0695836,0.014892432,2.602581,after
intensification,RGz,3820,-1.6777912,5.7855628,-0.89299945,-4.5428242,1.6913064,after
intensification,RKz,3820,8.5854762,36.611092,6.6911387,-10.389786,28.301287,after
intensification,RGe,3820,0.92264644,3.7029026,0.80833547,-0.86625591,2.8845917,after
intensification,RKe,3820,-7.5486625,8.7314985,-5.4239834,-11.388967,-1.4908976,after
mature,Az,3820,456848.97,326127.1,370310.41,228265.05,590604.74,after
mature,Ae,3820,164110.57,123237.71,125964.03,77594.513,209269.1,after
mature,Kz,3820,2879055.5,1583410.2,2603008.2,1696108.8,3743923,after
mature,Ke,3820,498793.16,338169.45,406408.52,249203.54,654980.47,after
mature,Cz,3820,-0.28135823,5.1656781,-0.040645491,-2.7739193,2.4755371,after
mature,Ca,3820,3.6710528,5.3008937,2.2169881,0.3058557,5.7482581,after
mature,Ck,3820,-2.4288793,12.449665,-0.61702292,-6.7251442,3.0185316,after
mature,Ce,3820,4.5509508,5.3208081,3.079422,1.0641164,7.0213703,after
mature,BAz,3820,2.0474755,7.1717553,1.2705802,-1.4933294,4.8843503,after
mature,BAe,3820,-0.575149,4.3690122,-0.45065353,-2.3669907,1.0130983,after
mature,BKz,3820,-7.0541361,31.13619,-4.8761796,-22.635254,8.0634847,after
mature,BKe,3820,0.041857452,9.9757118,-0.33061958,-3.8925515,3.5160263,after
mature,BΦZ,3820,8.3944463,26.347694,6.5100588,-6.1492945,22.345537,after
mature,BΦE,3820,-3.0474018,7.4131115,-1.904453,-6.6699078,1.1375815,after
mature,Gz,3820,-0.31319555,2.4424274,-0.16380817,-1.299719,0.81481249,after
mature,Ge,3820,1.7460049,2.79733,1.0376815,0.049191626,2.7438184,after
mature,∂Az/∂t (finite diff.),3820,-0.63842385,3.9454688,-0.5715575,-2.4002463,0.9589249,after
mature,∂Ae/∂t (finite diff.),3820,-0.98267859,2.0697707,-0.58863109,-1.9225763,0.14064261,after
mature,∂Kz/∂t (finite diff.),3820,-2.2219006,14.192162,-1.7547051,-9.3588648,5.3254856,after
mature,∂Ke/∂t (finite diff.),3820,-0.48185298,4.1395776,-0.39439813,-2.4377529,1.4421426,after
mature,RGz,3820,0.70379529,5.617085,0.67237479,-1.4691776,3.0378322,after
mature,RKz,3820,7.542473,41.543575,4.9514392,-13.301424,28.94621,after
mature,RGe,3820,0.47236843,3.9047407,0.38946557,-1.0150775,2.2083257,after
mature,RKe,3820,-7.5035406,10.883644,-4.8497374,-12.303082,-0.50932547,after
decay,Az,3820,468431.47,351723.06,370504.69,216611.19,609490.36,after
decay,Ae,3820,124372.46,94301.983,95296.109,63590.544,151910.06,after
decay,Kz,3820,2795998.9,1547126.8,2494682.9,1640686.9,3641398.1,after
decay,Ke,3820,378631.87,274462.21,296292.14,197041.93,469725.17,after
decay,Cz,3820,0.76057799,3.9217756,0.45376729,-1.1952341,2.4874089,after
decay,Ca,3820,2.1608803,4.4149348,0.91663648,-0.11161781,3.1928723,after
decay,Ck,3820,-2.0960173,9.9792315,-0.74996107,-5.1621649,1.9568132,after
decay,Ce,3820,1.979842,3.6165932,0.99977432,0.097546541,2.9589642,after
decay,BAz,3820,2.6896788,7.0287622,1.2432585,-0.95644711,5.0716168,after
decay,BAe,3820,-0.15601316,3.3865054,-0.041835987,-1.2310772,1.0606549,after
decay,BKz,3820,-8.0307621,30.082774,-4.6388209,-21.622619,6.8170248,after
decay,BKe,3820,-1.3624939,8.7850188,-0.44350621,-4.0076661,2.0928651,after
decay,BΦZ,3820,10.199343,23.54874,7.477118,-2.8653988,21.792171,after
decay,BΦE,3820,-1.2012711,4.9946683,-0.60249334,-3.4526166,1.3655497,after
decay,Gz,3820,-0.1526488,1.835345,-0.056679667,-0.81357292,0.5498869,after
decay,Ge,3820,0.80695865,2.0205557,0.25643878,-0.14108518,1.0882468,after
decay,∂Az/∂t (finite diff.),3820,0.68994561,3.1785625,0.31234712,-0.71374908,1.830648,after
decay,∂Ae/∂t (finite diff.),3820,-0.07591532,1.1570602,-0.062409228,-0.44044821,0.33838343,after
decay,∂Kz/∂t (finite diff.),3820,1.9329839,12.009244,0.70012601,-4.3924422,7.7258246,after
decay,∂Ke/∂t (finite diff.),3820,-0.85159256,2.6994488,-0.66106026,-1.9810596,0.30065014,after
decay,RGz,3820,0.92172508,5.0638519,0.56708212,-0.88202433,2.7499408,after
decay,RKz,3820,11.299185,38.909175,5.9029503,-9.1591158,29.392416,after
decay,RGe,3820,-0.1009405,2.5050326,-0.15468421,-1.0517747,0.75803985,after
decay,RKe,3820,-3.5649579,7.7804089,-2.0385267,-6.2987145,0.38767644,after
