scope,eof,version,term,loading
incipient,1,before,Az,0.23852357
incipient,1,after,Az,0.229531
incipient,1,before,Ae,0.49457522
incipient,1,after,Ae,0.399172
incipient,1,before,Kz,0.23959734
incipient,1,after,Kz,0.19943434
incipient,1,before,Ke,0.64053636
incipient,1,after,Ke,0.56071635
incipient,1,before,Cz,0.085884028
incipient,1,after,Cz,0.090243166
incipient,1,before,Ca,0.85846149
incipient,1,after,Ca,0.81592559
incipient,1,before,Ck,-0.44241004
incipient,1,after,Ck,-0.15923892
incipient,1,before,Ce,0.71418165
incipient,1,after,Ce,0.66673956
incipient,1,before,BAz,0.52250918
incipient,1,after,BAz,0.49219223
incipient,1,before,BAe,-0.21164742
incipient,1,after,BAe,-0.2544153
incipient,1,before,BKz,-0.57110087
incipient,1,after,BKz,-0.67662541
incipient,1,before,BKe,0.33145899
incipient,1,after,BKe,0.39171883
incipient,1,before,BΦZ,0.39015363
incipient,1,after,BΦZ,0.65922162
incipient,1,before,BΦE,0.23383348
incipient,1,after,BΦE,-0.66205833
incipient,1,before,Gz,-0.11766806
incipient,1,after,Gz,-0.078031455
incipient,1,before,Ge,0.22896295
incipient,1,after,Ge,0.26863172
incipient,1,before,∂Az/∂t (finite diff.),-0.26252642
incipient,1,after,∂Az/∂t (finite diff.),-0.14331128
incipient,1,before,∂Ae/∂t (finite diff.),0.13157624
incipient,1,after,∂Ae/∂t (finite diff.),0.0971478
incipient,1,before,∂Kz/∂t (finite diff.),0.14544534
incipient,1,after,∂Kz/∂t (finite diff.),0.24991756
incipient,1,before,∂Ke/∂t (finite diff.),0.3462871
incipient,1,after,∂Ke/∂t (finite diff.),0.29719163
incipient,1,before,RGz,-0.45612556
incipient,1,after,RGz,-0.13257599
incipient,1,before,RKz,0.5846059
incipient,1,after,RKz,0.68160911
incipient,1,before,RGe,0.61339631
incipient,1,after,RGe,0.32283186
incipient,1,before,RKe,-0.79453568
incipient,1,after,RKe,-0.76981794
incipient,2,before,Az,-0.13919746
incipient,2,after,Az,0.066009331
incipient,2,before,Ae,0.5920726
incipient,2,after,Ae,0.40230904
incipient,2,before,Kz,0.2638567
incipient,2,after,Kz,0.338475
incipient,2,before,Ke,0.15468734
incipient,2,after,Ke,0.073113841
incipient,2,before,Cz,-0.44430068
incipient,2,after,Cz,-0.28004739
incipient,2,before,Ca,-0.076980936
incipient,2,after,Ca,-0.07822356
incipient,2,before,Ck,0.26216754
incipient,2,after,Ck,0.052302476
incipient,2,before,Ce,0.33064916
incipient,2,after,Ce,0.11559619
incipient,2,before,BAz,-0.44956812
incipient,2,after,BAz,-0.39934489
incipient,2,before,BAe,0.78974115
incipient,2,after,BAe,0.63886996
incipient,2,before,BKz,0.032058124
incipient,2,after,BKz,-0.22423165
incipient,2,before,BKe,-0.068751337
incipient,2,after,BKe,-0.17472886
incipient,2,before,BΦZ,0.75581551
incipient,2,after,BΦZ,0.3645312
incipient,2,before,BΦE,0.78657867
incipient,2,after,BΦE,0.066943533
incipient,2,before,Gz,-0.11468852
incipient,2,after,Gz,-0.06926665
incipient,2,before,Ge,-0.24545976
incipient,2,after,Ge,-0.2972704
incipient,2,before,∂Az/∂t (finite diff.),0.02417505
incipient,2,after,∂Az/∂t (finite diff.),0.38880906
incipient,2,before,∂Ae/∂t (finite diff.),-0.25399529
