phase,eof,n,explained_variance_legacy,explained_variance_corrected,corrected_mode_rank,rank_swapped,pattern_correlation,max_abs_loading_change
incipient,1,3820,20.9623,20.5797,1,False,0.861523,0.895892
incipient,2,3820,13.9415,10.5482,3,True,0.754484,0.719635
incipient,3,3820,12.058,14.0239,2,True,0.929589,0.271658
incipient,4,3820,8.53935,8.86491,4,False,0.804488,0.363989
incipient,5,3820,6.76861,7.53815,5,False,0.908393,0.34384
incipient,6,3820,6.41181,6.60042,6,False,0.835386,0.281501
incipient,7,3820,4.90935,4.84605,8,True,0.981397,0.09991
incipient,8,3820,4.78596,5.04447,7,True,0.927901,0.169921
intensification,1,4003,30.0343,27.4692,1,False,0.82829,1.21916
intensification,2,4003,13.1617,9.37851,4,True,0.605522,0.650122
intensification,3,4003,10.9334,14.063,2,True,0.690994,0.838015
intensification,4,4003,9.35296,10.5432,3,True,0.861419,0.435904
intensification,5,4003,6.18121,6.50851,6,True,0.742263,0.358282
intensification,6,4003,5.76834,6.95858,5,True,0.324972,0.592134
intensification,7,4003,4.59088,4.52686,8,True,0.664446,0.58037
intensification,8,4003,4.13851,4.7025,7,True,0.773641,0.411549
mature,1,4003,28.6545,26.3135,1,False,0.770081,1.42695
mature,2,4003,11.8362,10.2154,3,True,0.508906,0.736189
mature,3,4003,9.78513,11.6907,2,True,0.698219,0.556396
mature,4,4003,8.64548,9.19599,4,False,0.691878,0.461808
mature,5,4003,7.65193,8.62579,5,False,0.611607,0.662106
mature,6,4003,5.99356,6.29158,6,False,0.880771,0.251988
mature,7,4003,5.1054,5.57266,7,False,0.922755,0.210941
mature,8,4003,4.01661,3.78168,8,False,0.133322,0.569346
decay,1,4003,31.3371,29.2035,1,False,0.804847,1.4015
decay,2,4003,10.1407,11.0579,2,False,0.931463,0.258739
decay,3,4003,9.40781,7.96216,4,True,0.666989,0.671606
decay,4,4003,8.08517,9.02983,3,True,0.693049,0.400311
decay,5,4003,6.23026,6.12013,6,True,0.645877,0.375953
decay,6,4003,5.71571,4.45436,8,True,0.224343,0.540318
decay,7,4003,4.88808,6.63307,5,True,0.57118,0.586922
decay,8,4003,4.75863,5.2657,7,True,0.745428,0.464793
