group,term,unit,phase,n,median_legacy,median_corrected,iqr_legacy,iqr_corrected,median_diff,median_abs_diff,normalized_change,pearson,spearman,sign_flip_pct,robust_flip_pct,median_sign_changed
energy,Az,J m-2,incipient,3820,608924,608924,533784,533784,-0.0153973,0.407398,6.69046e-07,1,0.999999,0,0,False
energy,Az,J m-2,intensification,4003,538508,538727,454695,454614,-0.00428479,0.245812,4.56469e-07,0.999838,0.999655,0,0,False
energy,Az,J m-2,mature,4003,368853,369428,365218,365219,0.000220315,0.31764,8.61157e-07,0.999509,0.99907,0,0,False
energy,Az,J m-2,decay,4003,369371,369409,393100,393452,0.00777627,0.209365,5.66815e-07,0.999369,0.99899,0,0,False
energy,Ae,J m-2,incipient,3820,138336,138337,142381,142382,-0.0131848,0.148192,1.07124e-06,1,1,0,0,False
energy,Ae,J m-2,intensification,4003,167221,167221,162145,162322,-0.0140586,0.0993313,5.94013e-07,0.999985,0.999992,0,0,False
energy,Ae,J m-2,mature,4003,125078,125137,131478,131416,-0.0123245,0.133096,1.06411e-06,0.999867,0.999612,0,0,False
energy,Ae,J m-2,decay,4003,94636.7,94646.2,88130,88203.9,-0.0125606,0.075412,7.96858e-07,0.999493,0.998944,0,0,False
energy,Kz,J m-2,incipient,3820,2.64538e+06,2.64539e+06,1.78821e+06,1.78822e+06,4.24662,4.24751,1.60563e-06,1,1,0,0,False
energy,Kz,J m-2,intensification,4003,2.81426e+06,2.81427e+06,2.00947e+06,2.00948e+06,4.52607,4.52656,1.60844e-06,1,1,0,0,False
energy,Kz,J m-2,mature,4003,2.58047e+06,2.58048e+06,2.07691e+06,2.07691e+06,4.05563,4.05846,1.57276e-06,1,1,0,0,False
energy,Kz,J m-2,decay,4003,2.47872e+06,2.47873e+06,2.01187e+06,2.01188e+06,3.90831,3.91144,1.57801e-06,1,1,0,0,False
energy,Ke,J m-2,incipient,3820,241646,241647,171876,171876,0.381459,0.381459,1.57858e-06,1,1,0,0,False
energy,Ke,J m-2,intensification,4003,357201,357201,291999,291999,0.570843,0.570843,1.5981e-06,1,1,0,0,False
energy,Ke,J m-2,mature,4003,403905,403905,404286,404287,0.627222,0.627455,1.55347e-06,1,1,0,0,False
energy,Ke,J m-2,decay,4003,294558,294558,273467,273468,0.457448,0.457557,1.55337e-06,1,1,0,0,False
conversion,Cz,W m-2,incipient,3820,0.387122,0.393516,5.86339,5.86554,2.04916e-06,4.03763e-05,1.36449e-05,0.99983,0.999711,0,0,False
conversion,Cz,W m-2,intensification,4003,-0.191327,-0.191272,5.0955,5.09785,9.17849e-07,2.31622e-05,9.08868e-06,0.999963,0.999914,0,0,False
conversion,Cz,W m-2,mature,4003,-0.041476,-0.0414816,5.20899,5.21217,8.55363e-07,3.83935e-05,1.4653e-05,0.99992,0.999823,0,0,False
