group,term,unit,phase,n,median_legacy,median_corrected,iqr_legacy,iqr_corrected,median_diff,median_abs_diff,normalized_change,pearson,spearman,sign_flip_pct,robust_flip_pct,median_sign_changed
conversion,Cz,W m-2,decay,4003,0.444419,0.444426,3.67229,3.67226,2.38024e-07,2.08597e-05,1.14641e-05,0.999995,0.99999,0,0,False
conversion,Ca,W m-2,incipient,3820,0.333783,0.876745,1.14714,3.30609,0.534423,0.943869,1.80178,0.974759,0.962272,7.27749,2.24758,False
conversion,Ca,W m-2,intensification,4003,0.974414,2.87103,1.88825,5.7968,1.88392,1.99602,1.96684,0.980275,0.980351,3.82213,0.330142,False
conversion,Ca,W m-2,mature,4003,0.647312,2.2094,1.66588,5.40607,1.48066,1.74362,2.25128,0.976042,0.974885,4.52161,0.991366,False
conversion,Ca,W m-2,decay,4003,0.251855,0.901416,0.973094,3.2351,0.617453,0.961416,2.34212,0.981034,0.975193,4.94629,1.53894,False
conversion,Ck,W m-2,incipient,3820,-0.946557,0.530387,3.51605,3.06387,1.47089,1.47534,0.799164,0.917324,0.816175,28.5079,19.1747,True
conversion,Ck,W m-2,intensification,4003,-2.62556,0.0973082,6.79,4.92051,2.95809,2.96049,0.83753,0.901579,0.840051,28.4786,16.7577,True
conversion,Ck,W m-2,mature,4003,-3.04316,-0.646673,11.1577,9.81865,2.17728,2.17928,0.390528,0.969568,0.939442,15.8631,4.68047,False
conversion,Ck,W m-2,decay,4003,-1.96621,-0.745483,7.84747,7.04217,1.1452,1.14614,0.295926,0.980706,0.964881,10.2173,1.75763,False
conversion,Ce,W m-2,incipient,3820,2.53968,2.53976,4.88852,4.88851,5.49925e-06,2.4622e-05,8.97057e-06,0.999998,0.99999,0,0,False
conversion,Ce,W m-2,intensification,4003,5.00787,5.00788,6.73608,6.73608,8.06358e-06,1.41764e-05,2.81446e-06,0.999996,0.999993,0,0,False
conversion,Ce,W m-2,mature,4003,3.01457,3.01458,5.86227,5.8614,5.78178e-06,1.93108e-05,5.94356e-06,0.99997,0.999826,0,0,False
conversion,Ce,W m-2,decay,4003,0.982884,0.9861,2.81117,2.8131,2.49025e-06,9.27161e-06,6.97068e-06,0.999669,0.999326,0,0,False
generation,Gz,W m-2,incipient,3820,-0.519362,-0.520304,3.64331,3.64148,-3.05434e-07,8.13521e-05,4.41477e-05,0.999926,0.999747,0.026178,0,False
generation,Gz,W m-2,intensification,4003,-0.394094,-0.390782,2.47621,2.47592,2.76383e-06,4.02888e-05,3.29099e-05,0.998822,0.999104,0.0249813,0.04995,False
generation,Gz,W m-2,mature,4003,-0.164152,-0.164212,2.10842,2.11002,1.80046e-06,6.24457e-05,5.948e-05,0.999677,0.999721,0.0249813,0,False
generation,Gz,W m-2,decay,4003,-0.0556001,-0.0556116,1.36052,1.3606,-1.21532e-06,3.55927e-05,5.319e-05,0.999895,0.999771,0,0,False
generation,Ge,W m-2,incipient,3820,-0.52068,-0.5213,2.93479,2.93471,1.41844e-06,4.83786e-05,3.1387e-05,0.999975,0.999827,0,0,False
generation,Ge,W m-2,intensification,4003,1.78861,1.78865,3.41245,3.41248,-4.59774e-07,2.61063e-05,1.39889e-05,0.999995,0.999982,0.0249813,0,False
generation,Ge,W m-2,mature,4003,0.986469,0.989678,2.67251,2.67092,4.04634e-07,4.2755e-05,3.30634e-05,0.999945,0.999733,0.0249813,0.0499002,False
generation,Ge,W m-2,decay,4003,0.247491,0.247588,1.21307,1.21633,-3.03402e-07,2.21888e-05,4.15364e-05,0.999189,0.999326,0.0249813,0,False
boundary,BAz,W m-2,incipient,3820,2.47562,2.4708,8.19329,8.1871,-0.000211596,0.000649369,0.000166774,0.999787,0.999706,0,0,False
boundary,BAz,W m-2,intensification,4003,2.58985,2.58901,7.05238,7.05083,-9.75859e-06,0.000611711,0.000169643,0.999895,0.99981,0.0499625,0,False
boundary,BAz,W m-2,mature,4003,1.17398,1.17893,6.29027,6.30191,0.000234924,0.000632649,0.000198845,0.999942,0.99979,0,0,False
boundary,BAz,W m-2,decay,4003,1.16591,1.16778,5.89878,5.90483,0.000199615,0.000577228,0.000206162,0.999643,0.999546,0.0499625,0.0499251,False
boundary,BAe,W m-2,incipient,3820,1.10454,1.10457,4.45464,4.45457,-2.63633e-06,3.77099e-05,1.85491e-05,0.999999,0.999996,0,0,False
boundary,BAe,W m-2,intensification,4003,0.533003,0.533015,3.83021,3.83331,8.28577e-07,2.23723e-05,1.2403e-05,0.99994,0.999929,0,0,False
boundary,BAe,W m-2,mature,4003,-0.447739,-0.447836,3.36711,3.36863,3.41197e-06,3.55789e-05,2.0933e-05,0.999753,0.999595,0,0,False
boundary,BAe,W m-2,decay,4003,-0.02783,-0.0293574,2.27485,2.2763,1.65732e-06,1.97414e-05,1.73265e-05,0.999295,0.999647,0,0,False
boundary,BKz,W m-2,incipient,3820,-5.61551,-5.61554,33.8446,33.8446,1.18654e-06,8.64587e-05,4.75828e-06,0.999321,0.999949,0,0,False
boundary,BKz,W m-2,intensification,4003,-6.06817,-6.06819,30.4105,30.3801,1.84279e-07,4.90221e-05,3.04476e-06,0.999061,0.999885,0,0,False
boundary,BKz,W m-2,mature,4003,-4.66202,-4.6621,30.5033,30.4757,5.9295e-07,8.39815e-05,5.65324e-06,0.998858,0.999806,0,0,False
boundary,BKz,W m-2,decay,4003,-4.43624,-4.4362,28.3794,28.3516,6.6403e-07,5.10354e-05,3.58711e-06,0.998957,0.999689,0,0,False
boundary,BKe,W m-2,incipient,3820,0.486054,0.486063,5.69106,5.69107,5.56666e-07,2.13316e-05,7.77212e-06,0.999998,1,0,0,False
boundary,BKe,W m-2,intensification,4003,0.840221,0.840245,6.69233,6.68907,-3.9987e-08,1.26438e-05,4.1839e-06,0.999998,0.999999,0,0,False
boundary,BKe,W m-2,mature,4003,-0.33668,-0.336688,7.36581,7.36583,-3.97809e-07,2.30139e-05,6.17536e-06,0.999997,0.999986,0,0,False
boundary,BKe,W m-2,decay,4003,-0.393385,-0.393384,6.07724,6.07493,3.07835e-07,1.36494e-05,4.68681e-06,0.999993,0.999967,0,0,False
boundary,BΦZ,W m-2,incipient,3820,47.7602,6.95556,127.705,28.4729,-37.5282,63.4903,0.860672,0.403386,0.373527,31.3874,26.5869,False
boundary,BΦZ,W m-2,intensification,4003,64.2046,6.46678,144.008,26.093,-53.3206,69.6658,0.862122,0.452027,0.432718,28.8534,23.0808,False
boundary,BΦZ,W m-2,mature,4003,65.9297,6.40414,162.894,28.1563,-56.451,75.7616,0.865037,0.552028,0.529731,27.0297,20.6088,False
boundary,BΦZ,W m-2,decay,4003,37.8746,7.42123,142.455,24.2801,-29.5996,65.1449,0.867772,0.587944,0.580881,25.5309,16.9077,False
boundary,BΦE,W m-2,incipient,3820,34.3636,-0.502603,137.002,4.39584,-35.5286,76.3572,1.01545,-0.15752,-0.128401,56.6492,57.6963,True
boundary,BΦE,W m-2,intensification,4003,43.9672,-1.93999,136.494,5.3096,-46.7029,77.4753,1.03536,-0.389307,-0.398773,70.1224,78.5714,True
boundary,BΦE,W m-2,mature,4003,42.7079,-1.87524,145.44,7.84963,-46.079,78.7138,1.05105,-0.503163,-0.532634,73.1701,81.4685,True
boundary,BΦE,W m-2,decay,4003,17.3856,-0.576812,130.403,4.75113,-18.7609,69.1228,1.02638,-0.510902,-0.549948,71.996,80.7193,True
budget,∂Az/∂t (finite diff.),W m-2,incipient,3820,0.375025,0.375055,5.67265,5.67328,-6.00772e-07,3.62953e-05,1.28137e-05,0.999937,0.999999,0,0,False
budget,∂Az/∂t (finite diff.),W m-2,intensification,4003,-1.10597,-1.10377,3.67652,3.67445,2.82078e-07,6.56683e-06,3.45856e-06,0.999422,0.999251,0.0249813,0.04995,False
budget,∂Az/∂t (finite diff.),W m-2,mature,4003,-0.585636,-0.585579,3.36741,3.37199,2.30541e-07,1.45738e-05,8.31431e-06,0.999966,0.999914,0,0,False
budget,∂Az/∂t (finite diff.),W m-2,decay,4003,0.300071,0.302572,2.5229,2.5289,-5.37706e-08,9.46526e-06,7.58893e-06,0.996975,0.999172,0.0499625,0.0998004,False
budget,∂Ae/∂t (finite diff.),W m-2,incipient,3820,0.0252924,0.0252832,1.95865,1.95861,-6.51408e-07,1.40394e-05,1.41726e-05,0.999999,0.999999,0,0,False
budget,∂Ae/∂t (finite diff.),W m-2,intensification,4003,0.027045,0.027969,1.23968,1.24177,7.0828e-08,2.52387e-06,4.06183e-06,0.999903,0.999636,0.0249813,0.0499251,False
budget,∂Ae/∂t (finite diff.),W m-2,mature,4003,-0.583801,-0.583781,2.05185,2.05203,1.98836e-07,6.39575e-06,6.54761e-06,0.99995,0.999927,0,0,False
budget,∂Ae/∂t (finite diff.),W m-2,decay,4003,-0.0615861,-0.0615853,0.774866,0.776061,4.07444e-08,2.8751e-06,7.42202e-06,0.99933,0.999727,0,0,False
budget,∂Kz/∂t (finite diff.),W m-2,incipient,3820,2.31931,2.31939,15.1893,15.1893,4.36145e-06,2.67429e-05,3.64316e-06,0.999991,0.999996,0,0,False
budget,∂Kz/∂t (finite diff.),W m-2,intensification,4003,-0.0808886,-0.0808894,11.217,11.217,-1.52549e-07,1.00114e-05,1.78713e-06,0.999999,0.999997,0,0,False
budget,∂Kz/∂t (finite diff.),W m-2,mature,4003,-1.79873,-1.79873,14.7022,14.7023,-3.12286e-06,1.71564e-05,2.35686e-06,0.999992,0.999994,0,0,False
budget,∂Kz/∂t (finite diff.),W m-2,decay,4003,0.65244,0.652444,11.9501,11.9501,8.95143e-07,1.0842e-05,1.87665e-06,0.999997,0.999999,0,0,False
budget,∂Ke/∂t (finite diff.),W m-2,incipient,3820,0.730432,0.73344,2.81158,2.81236,1.13284e-06,6.14196e-06,4.49961e-06,0.999959,0.999887,0,0,False
budget,∂Ke/∂t (finite diff.),W m-2,intensification,4003,1.02338,1.02339,2.58177,2.58178,1.71562e-06,2.50953e-06,1.85686e-06,0.999994,0.999977,0,0,False
budget,∂Ke/∂t (finite diff.),W m-2,mature,4003,-0.40349,-0.403487,3.90634,3.90635,-8.1386e-07,4.77134e-06,2.40526e-06,0.999997,0.999996,0,0,False
budget,∂Ke/∂t (finite diff.),W m-2,decay,4003,-0.656956,-0.656956,2.28203,2.28203,-1.21333e-06,2.67461e-06,2.16089e-06,0.999997,0.999995,0,0,False
residual,RGz,W m-2,incipient,3820,-1.14768,-0.374697,8.86833,7.58036,0.533554,0.945131,0.226103,0.957922,0.946486,8.4555,2.6936,False
residual,RGz,W m-2,intensification,4003,-3.16258,-0.832257,8.23422,6.20426,1.88416,1.99757,0.475901,0.884482,0.862765,16.6375,8.62302,False
residual,RGz,W m-2,mature,4003,-0.791738,0.686325,5.57539,4.48467,1.48035,1.74343,0.630594,0.833747,0.758442,24.007,18.4036,True
residual,RGz,W m-2,decay,4003,-0.0591525,0.572881,4.01716,3.59293,0.614257,0.960153,0.481998,0.855648,0.778754,20.3347,14.7775,True
residual,RKz,W m-2,incipient,3820,8.51109,6.92947,40.0842,39.472,-1.4724,1.4764,0.0708252,0.997994,0.998095,2.27749,0,False
residual,RKz,W m-2,intensification,4003,9.90723,6.69428,40.8,38.5295,-2.96046,2.96192,0.141043,0.996645,0.996339,4.34674,0,False
residual,RKz,W m-2,mature,4003,7.30327,4.81265,44.7057,41.9564,-2.17953,2.18006,0.0965021,0.996838,0.996756,3.5973,0,False
residual,RKz,W m-2,decay,4003,6.97578,5.67527,39.7437,38.4718,-1.14627,1.14742,0.0584754,0.998171,0.998566,1.82363,0,False
residual,RGe,W m-2,incipient,3820,0.65592,0.102162,4.48303,3.55149,-0.534218,0.943922,0.410406,0.910419,0.865478,14.1099,7.93726,False
residual,RGe,W m-2,intensification,4003,2.75843,0.773002,5.86737,3.77218,-1.88129,1.99601,0.602866,0.768419,0.75667,20.1099,14.9099,False
residual,RGe,W m-2,mature,4003,1.84335,0.355109,5.24202,3.19039,-1.47926,1.74364,0.672234,0.709359,0.69257,25.0062,18.9947,False
residual,RGe,W m-2,decay,4003,0.50538,-0.168175,3.10418,1.79128,-0.614242,0.961417,0.687531,0.692854,0.679321,26.0804,20.6608,True
residual,RKe,W m-2,incipient,3820,-3.45977,-1.96956,8.23926,6.70782,1.47161,1.47587,0.354194,0.978055,0.970772,10.1832,0.504286,False
residual,RKe,W m-2,intensification,4003,-8.69119,-5.47843,13.1737,9.96208,2.95809,2.96048,0.336989,0.97736,0.976814,6.49513,0,False
residual,RKe,W m-2,mature,4003,-7.20433,-4.76922,14.5871,11.7464,2.17727,2.17935,0.282108,0.981363,0.978414,6.42018,0.196947,False
residual,RKe,W m-2,decay,4003,-3.25643,-1.99916,7.90248,6.69465,1.14519,1.14662,0.274426,0.981645,0.976668,7.09468,0.53243,False
